�ния в крови меди;R79.0;47831
10050443;Отравление лавровишневой водой;T51.8;50504
10050444;Отравление лаком;T65.6;50505
10050445;Отравление лактозой;T50.9;50506
10050446;Отравление лактозой как наполнителем;T50.9;50507
10050447;Отравление лактулозой;T47.3;50508
10050448;Отравление ланатозидами;T46.0;50509
10050449;Отравление ландыша майского гликозидами;T46.0;50510
10050450;Отравление ланолином;T49.3;50511
10050451;Отравление лассарой пастой;T49.4;50512
10050452;Отравление латамоксефом;T36.1;50513
10050453;Отравление латунью;T56.8;50514
10050454;Отравление лауданумом;T40.0;50515
10050455;Отравление лаурил-сульфоацетатом;T49.2;50516
10050456;Отравление лахезином;T49.5;50517
10050457;Отравление лацидипином;T46.5;50518
10050458;Отравление леваллорфаном;T50.7;50519
10050459;Отравление левамизолом;T37.4;50520
10050460;Отравление левартеренолом;T44.4;50521
10050461;Отравление левдропропизином;T48.3;50522
10050462;Отравление левобунололом;T49.5;50523
10050463;Отравление левоглутамидом;T50.9;50524
10050464;Отравление леводопой;T42.8;50525
10050465;Отравление леводопой с карбидопой;T42.8;50526
10050466;Отравление левокабастина гидрохлоридом;T45.0;50527
10050467;Отравление левокарнитином;T50.9;50528
10050468;Отравление левомепромазином;T43.3;50529
10050469;Отравление левоноргестрелом;T38.4;50530
10050470;Отравление левоноргестрелом с этинилэстрадиоломом;T38.4;50531
10050471;Отравление левонордефрином;T49.6;50532
10050472;Отравление левопроксифиллином;T48.6;50533
10050473;Отравление левопромазином;T43.3;50534
10050474;Отравление левопропилгекседрином;T50.5;50535
10050475;Отравление левопропоксифеном;T40.4;50536
10050476;Отравление леворфанолом;T40.4;50537
10050477;Отравление левотироксином натрия;T38.1;50538
10050478;Отравление левулозой;T50.3;50539
10050479;Отравление лейковорином;T45.8;50540
10050480;Отравление лейкоцианидолом;T46.9;50541
10050481;Отравление лейпрорелином;T38.8;50542
10050482;Отравление лейцинокаином;T41.3;50543
10050483;Отравление лекарственными средствами, влияющими на кровь,;T45.9;50544
10050484;Отравление лекарством;T50.9;50545
10050485;Отравление лекарством при ошибочном назначении;T50.9;50546
10050486;Отравление лекарством при передозировке;T50.9;50547
10050487;Отравление лекарством при приеме вещества по ошибке;T50.9;50548
10050488;Отравление ленпероном;T43.4;50549
10050489;Отравление лептазолом;T50.7;50550
10050490;Отравление лептофосом;T60.0;50551
10050491;Отравление летостеином;T48.4;50552
10050492;Отравление лефетамином;T39.8;50553
10050493;Отравление лигнин-гемицеллюлозой;T47.6;50554
10050494;Отравление лигнокаином;T41.3;50555
10050495;Отравление лигнокаином для региональной анестезии;T41.3;50556
10050496;Отравление лигнокаином спинномозговой анестезии;T41.3;50557
10050497;Отравление лигроина парами;T59.8;50558
10050498;Отравление лигроином;T52.0;50559
10050499;Отравление лигроином растворителем;T52.0;50560
10050500;Отравление лидокаином;T41.3;50561
10050501;Отравление лидокаином для региональной анестезии;T41.3;50562
10050502;Отравление лидокаином для спинномозговой анестезии;T41.3;50563
10050503;Отравление лидофенином;T50.8;50564
10050504;Отравление лидофлазином;T46.1;50565
10050505;Отравление лизергидом;T40.8;50566
10050506;Отравление лизергиновой кислотой;T40.8;50567
10050507;Отравление лизиноприлом;T46.4;50568
10050508;Отравление лизоцимом;T49.0;50569
10050509;Отравление лизуридом;T42.8;50570
10050510;Отравление лимециклином;T36.4;50571
10050511;Отравление лимоненом;T52.8;50572
10050512;Отравление лимонной кислотой;T47.5;50573
10050513;Отравление линданом;T53.6;50574
10050514;Отравление линданом как инсектицидом;T53.6;50575
10050515;Отравление линданом, используемым для медицинских целей;T49.0;50576
10050516;Отравление линданом, используемым не для медицинских целей;T53.6;50577
10050517;Отравление линестренолом;T38.4;50578
10050518;Отравление линкомицином;T36.8;50579
10050519;Отравление линолевой кислотой;T46.6;50580
10050520;Отравление линоленовой кислотой;T46.6;50581
10050521;Отравление лиотиронином;T38.1;50582
10050522;Отравление лиотриксом;T38.1;50583
10050523;Отравление липо-альпростадилом;T46.7;50584
10050524;Отравление липотропными средствами;T50.9;50585
10050525;Отравление липрессином;T38.8;50586
10050526;Отравление листьями дурмана вонючего;T48.6;50587
10050527;Отравление литием;T56.8;50588
10050528;Отравление лития глюконатом;T43.5;50589
10050529;Отравление лития карбонатом;T43.5;50590
10050530;Отравление лития солями;T43.5;50591
10050531;Отравление лобелином;T50.7;50592
10050532;Отравление лобензаритом;T39.3;50593
10050533;Отравление ловастатином;T46.6;50594
10050534;Отравление локально действующими глазными средствами;T49.5;50595
10050535;Отравление локально действующими кожными средствами;T49.4;50596
10050536;Отравление локально действующими средствами;T49.9;50597
10050537;Отравление локально действующими средствами для лечения заболеваний горла;T49.6;50598
10050538;Отравление локально действующими средствами для лечения заболеваний носа;T49.6;50599
10050539;Отравление локально действующими средствами для лечения заболеваний уха;T49.6;50600
10050540;Отравление локально действующими уточненными средствами;T49.8;50601
10050541;Отравление локсапином;T43.5;50602
10050542;Отравление локсопрофеном;T39.3;50603
10050543;Отравление ломустином;T45.1;50604
10050544;Отравление лоназолаком;T39.3;50605
10050545;Отравление лонидамином;T45.1;50606
10050546;Отравление лоперамидом;T47.6;50607
10050547;Отравление лопразоламом;T42.4;50608
10050548;Отравление лоразепамом;T42.4;50609
10050549;Отравление лораймином;T46.2;50610
10050550;Отравление лоратидином;T45.0;50611
10050551;Отравление лоркаинидом;T46.2;50612
10050552;Отравление лорметазепамом;T42.4;50613
10050553;Отравление лофепрамином;T43.0;50614
10050554;Отравление лошадиной антилимфоцитарной сывороткой;T50.9;50615
10050555;Отравление ЛСД;T40.8;50616
10050556;Отравление лукантоном;T37.4;50617
10050557;Отравление лутутрином;T48.2;50618
10050558;Отравление люизитом газом, используемым не в военных целях;T57.0;50619
10050559;Отравление люизитом, используемым не в военных целях;T57.0;50620
10050560;Отравление лютеинизирующим гормоном;T38.8;50621
10050561;Отравление магалдратом;T47.1;50622
10050562;Отравление магнезиальной магмой;T47.1;50623
10050563;Отравление магнием;T56.8;50624
10050564;Отравление магния гидроокисью;T47.1;50625
10050565;Отравление магния карбонатом;T47.1;50626
10050566;Отравление магния окисью;T47.1;50627
10050567;Отравление магния перекисью;T49.0;50628
10050568;Отравление магния салицилатом;T39.0;50629
10050569;Отравление магния сульфатом;T47.4;50630
10050570;Отравление магния тиосульфатом;T45.0;50631
10050571;Отравление магния трисиликатом;T47.1;50632
10050572;Отравление магния фторосиликатом;T50.3;50633
10050573;Отравление магния цитратом;T47.4;50634
10050574;Отравление мазиндолом;T50.5;50635
10050575;Отравление мазью;T49.3;50636
10050576;Отравление макроголом;T50.9;50637
10050577;Отравление макролидным анаболическим средством;T38.7;50638
10050578;Отравление макролидным антибиотиком;T36.3;50639
10050579;Отравление малатионом;T49.0;50640
10050580;Отравление малатионом инсектицидом;T60.0;50641
10050581;Отравление малатионом, используемым для медицинских целей;T49.0;50642
10050582;Отравление м-амсой;T45.1;50643
10050583;Отравление маннита гексанитратом;T46.3;50644
10050584;Отравление маннитом;T47.3;50645
10050585;Отравление манномустином;T45.1;50646
10050586;Отравление мапротилином;T43.0;50647
10050587;Отравление марганца двуокисью;T57.2;50648
10050588;Отравление марганцом;T57.2;50649
10050589;Отравление марганцом, используемым для медицинских целей;T50.9;50650
10050590;Отравление марихуаной;T40.7;50651
10050591;Отравление масла дымами;T59.8;50652
10050592;Отравление маслами ацетона;T52.4;50653
10050593;Отравление маслом;T62.8;50654
10050594;Отравление маслом гвоздичным;T49.7;50655
10050595;Отравление маслом горького миндаля;T62.8;50656
10050596;Отравление маслом купоросным;T54.2;50657
10050597;Отравление маслом купоросным жидкостью;T54.2;50658
10050598;Отравление маслом мяты;T47.5;50659
10050599;Отравление маслом ниобовым;T52.8;50660
10050600;Отравление маслом смазочным;T52.0;50661
10050601;Отравление маслом экстракта листьев чайного дерева;T49.0;50662
10050602;Отравление масляными красками;T65.6;50663
10050603;Отравление масляными препаратами;T49.3;50664
10050604;Отравление масляными препаратами для лечения заболеваний кожи;T49.3;50665
10050605;Отравление мафенидом;T49.0;50666
10050606;Отравление мебаллималом;T42.3;50667
10050607;Отравление мебаназином;T43.1;50668
10050608;Отравление мебгидролином;T45.0;50669
10050609;Отравление мебеверином;T44.3;50670
10050610;Отравление мебельной политурой;T65.8;50671
10050611;Отравление мебендазолом;T37.4;50672
10050612;Отравление мебумалом;T42.3;50673
10050613;Отравление мебутаматом;T43.5;50674
10050614;Отравление мевинфосом;T60.0;50675
10050615;Отравление мегестролом;T38.5;50676
10050616;Отравление меглумина антимониатом;T37.8;50677
10050617;Отравление меглумина диатризоатом;T50.8;50678
10050618;Отравление меглумина йодипамидом;T50.8;50679
10050619;Отравление меглумина йотроксатом;T50.8;50680
10050620;Отравление медазепамом;T42.4;50681
10050621;Отравление меди арсенатом;T57.0;50682
10050622;Отравление меди арсенатом инсектицидом;T60.2;50683
10050623;Отравление меди арсенитом;T57.0;50684
10050624;Отравление меди арсенитом инсектицидом;T60.2;50685
10050625;Отравление меди ацетатом;T60.3;50686
10050626;Отравление меди ацетоарсенитом;T57.0;50687
10050627;Отравление меди глюконатом;T49.0;50688
10050628;Отравление меди глюконатом, используемым для медицинских целей,;T45.8;50689
10050629;Отравление меди олеатом;T49.0;50690
10050630;Отравление меди сульфатом;T56.4;50691
10050631;Отравление меди сульфатом, используемым для лечения глазных болезней;T49.5;50692
10050632;Отравление меди сульфатом, используемым для медицинских целей;T49.6;50693
10050633;Отравление медикаментом;T50.9;50694
10050634;Отравление медрисоном;T49.0;50695
10050635;Отравление медрогестоном;T38.5;50696
10050636;Отравление медроксалолом;T44.8;50697
10050637;Отравление медроксипрогестерона ацетатом;T38.5;50698
10050638;Отравление медью;T56.4;50699
10050639;Отравление медью, используемой не для медицинских целей;T56.4;50700
10050640;Отравление мезлоциллином;T36.0;50701
10050641;Отравление мезогликаном;T46.6;50702
10050642;Отравление мезтанолоном;T38.7;50703
10050643;Отравление мезулергином;T42.8;50704
10050644;Отравление мекамиламином;T44.2;50705
10050645;Отравление меквитазином;T43.3;50706
10050646;Отравление меклизина гидрохлоридом;T45.0;50707
10050647;Отравление меклизином;T45.0;50708
10050648;Отравление меклозином;T45.0;50709
10050649;Отравление меклофенаматом;T39.3;50710
10050650;Отравление меклофенамовой кислотой;T39.3;50711
10050651;Отравление меклофеноксатом;T43.6;50712
10050652;Отравление меклоциклином;T36.4;50713
10050653;Отравление мекобаламином;T45.8;50714
10050654;Отравление мекопропом;T60.3;50715
10050655;Отравление мекрилатом;T49.3;50716
10050656;Отравление мексазоламом;T42.4;50717
10050657;Отравление мексеноном;T49.3;50718
10050658;Отравление мексилетином;T46.2;50719
10050659;Отравление меладразином;T44.3;50720
10050660;Отравление меланоцитостимулирующим гормоном;T38.8;50721
10050661;Отравление меларсонилом калия;T37.3;50722
10050662;Отравление меларсопролом;T37.3;50723
10050663;Отравление мелитраценом;T43.0;50724
10050664;Отравление мелпероном;T43.4;50725
10050665;Отравление мелфаланом;T45.1;50726
10050666;Отравление мемантином;T42.8;50727
10050667;Отравление менатетреноном;T45.7;50728
10050668;Отравление менафтоном;T45.7;50729
10050669;Отравление менахиноном;T45.7;50730
10050670;Отравление менингококковой вакциной;T50.9;50731
10050671;Отравление ментолом;T48.5;50732
10050672;Отравление мепазинолом;T39.8;50733
10050673;Отравление мепакрином;T37.2;50734
10050674;Отравление мепартрицином;T36.7;50735
10050675;Отравление мепарфинолом;T42.6;50736
10050676;Отравление мепензолата бромидом;T44.3;50737
10050677;Отравление мепензолатом;T44.3;50738
10050678;Отравление меперидином;T40.4;50739
10050679;Отравление мепивакаином;T41.3;50740
10050680;Отравление мепивакаином для эпидуральной анестезии;T41.3;50741
10050681;Отравление мепиндололом;T44.7;50742
10050682;Отравление мепирамином;T45.0;50743
10050683;Отравление мепитиостаном;T38.7;50744
10050684;Отравление мепреднизоном;T38.0;50745
10050685;Отравление меприлкаином;T41.3;50746
10050686;Отравление мепробаматом;T43.5;50747
10050687;Отравление мепросцилларином;T46.0;50748
10050688;Отравление мераллуридом;T50.2;50749
10050689;Отравление мербромином;T49.0;50750
10050690;Отравление меркаптобензтиазоловыми солями;T49.0;50751
10050691;Отравление меркаптомерином;T50.2;50752
10050692;Отравление меркаптопурином;T45.1;50753
10050693;Отравление меркурамидом;T50.2;50754
10050694;Отравление меркурофиллином;T50.2;50755
10050695;Отравление меркурохромом;T49.0;50756
10050696;Отравление мерсалилом;T50.2;50757
10050697;Отравление мертиолатом;T49.0;50758
10050698;Отравление месалазином;T47.8;50759
10050699;Отравление мескалином;T40.9;50760
10050700;Отравление месной;T48.4;50761
10050701;Отравление месоридазином;T43.3;50762
10050702;Отравление местеролоном;T38.7;50763
10050703;Отравление местнодействующими средствами;T49.8;50764
10050704;Отравление местранолом;T38.5;50765
10050705;Отравление месуксимидом;T42.2;50766
10050706;Отравление месулергином;T49.0;50767
10050707;Отравление месульфеном;T49.0;50768
10050708;Отравление метабутетамином;T41.3;50769
10050709;Отравление метадоном;T40.3;50770
10050710;Отравление метазоламидом;T50.2;50771
10050711;Отравление метаквалоном;T42.6;50772
10050712;Отравление метаксалоном;T42.8;50773
10050713;Отравление металлами;T56.9;50774
10050714;Отравление металлами тяжелыми;T56.9;50775
10050715;Отравление металлами уточненными;T56.8;50776
10050716;Отравление металлами, используемыми не в медицинских целях;T56.9;50777
10050717;Отравление металленэстрилом;T38.5;50778
10050718;Отравление метальдегидом;T60.8;50779
10050719;Отравление метамизолом натрия;T39.2;50780
10050720;Отравление метампироном;T39.2;50781
10050721;Отравление метампициллином;T36.0;50782
10050722;Отравление метамфетамином;T43.6;50783
10050723;Отравление метандиеноном;T38.7;50784
10050724;Отравление метандионом;T38.7;50785
10050725;Отравление метандриолом;T38.7;50786
10050726;Отравление метандростенолоном;T38.7;50787
10050727;Отравление метаниазидом;T37.1;50788
10050728;Отравление метанолом;T51.1;50789
10050729;Отравление метаном;T59.8;50790
10050730;Отравление метантелина бромидом;T44.3;50791
10050731;Отравление метантелином;T44.3;50792
10050732;Отравление метанэтиолом;T59.8;50793
10050733;Отравление метапириленом;T45.0;50794
10050734;Отравление метапрамином;T43.0;50795
10050735;Отравление метапротеренолом;T48.2;50796
10050736;Отравление метараминолом;T44.4;50797
10050737;Отравление метарбиталом;T42.3;50798
10050738;Отравление метафосом;T60.0;50799
10050739;Отравление метахолином;T44.1;50800
10050740;Отравление метациклином;T36.4;50801
10050741;Отравление метдилазином;T43.3;50802
10050742;Отравление метенамин манделатом;T37.8;50803
10050743;Отравление метенамином;T37.8;50804
10050744;Отравление метенолоном;T38.7;50805
10050745;Отравление метерголином;T42.8;50806
10050746;Отравление метескуфиллином;T46.9;50807
10050747;Отравление мететоином;T42.0;50808
10050748;Отравление метиамидом;T47.1;50809
10050749;Отравление метизолином;T48.5;50810
10050750;Отравление метизопринолом;T37.5;50811
10050751;Отравление метиклотиазидом;T50.2;50812
10050752;Отравление метикраном;T50.2;50813
10050753;Отравление метиксеном;T44.3;50814
10050754;Отравление метила бромидом;T59.8;50815
10050755;Отравление метилакрилатом;T65.8;50816
10050756;Отравление метиламинофенолом;T65.3;50817
10050757;Отравление метиламфетамином;T43.6;50818
10050758;Отравление метилатропин нитратом;T44.3;50819
10050759;Отравление метилацетатом;T52.4;50820
10050760;Отравление метилацетоном;T52.4;50821
10050761;Отравление метилбенактизия бромидом;T44.3;50822
10050762;Отравление метилбензетония хлоридом;T49.0;50823
10050763;Отравление метилбензоатом;T52.8;50824
10050764;Отравление метилбензолом;T52.2;50825
10050765;Отравление метилбромидом газом;T59.8;50826
10050766;Отравление метилбромидом фумигантом;T60.8;50827
10050767;Отравление метилбутанолом;T51.3;50828
10050768;Отравление метилгидразином;T65.8;50829
10050769;Отравление метилглюкамин-антимонатом;T37.8;50830
10050770;Отравление метилдеметоном;T60.0;50831
10050771;Отравление метилдигоксином;T46.0;50832
10050772;Отравление метилдопатом;T46.5;50833
10050773;Отравление метилдопой;T46.5;50834
10050774;Отравление метилендиоксиамфетамином;T43.6;50835
10050775;Отравление метиленовым дихлоридом;T53.4;50836
10050776;Отравление метиленовым растворителем;T53.4;50837
10050777;Отравление метиленовым хлоридом;T53.4;50838
10050778;Отравление метиленом;T50.6;50839
10050779;Отравление метилизобутилкетоном;T52.4;50840
10050780;Отравление метилизотиоцианатом;T60.3;50841
10050781;Отравление метилиодидом;T65.8;50842
10050782;Отравление метилированным спиртом;T51.1;50843
10050783;Отравление метилкарбонатом;T52.8;50844
10050784;Отравление метилломустином;T45.1;50845
10050785;Отравление метилмеркаптаном;T59.8;50846
10050786;Отравление метилморфином;T40.2;50847
10050787;Отравление метилникотинатом;T49.4;50848
10050788;Отравление метиловым спиртом;T51.1;50849
10050789;Отравление метилом для внутривенного применения;T38.0;50850
10050790;Отравление метилпарабеном;T49.0;50851
10050791;Отравление метилпаратионом;T60.0;50852
10050792;Отравление метилпарафинолом;T42.6;50853
10050793;Отравление метилпентинолом;T42.6;50854
10050794;Отравление метилполисилоксаном;T47.1;50855
10050795;Отравление метилпреднизолона аммонизированным хлоридом;T49.0;50856
10050796;Отравление метилпреднизолона хлоридом;T49.0;50857
10050797;Отравление метилпреднизолоном;T49.0;50858
10050798;Отравление метилпреднизолоном для внутривенного применения;T38.0;50859
10050799;Отравление метилпропилкарбинолом;T51.3;50860
10050800;Отравление метилросанилина хлоридом;T49.0;50861
10050801;Отравление метилросанилином;T49.0;50862
10050802;Отравление метилсалицинатом;T49.2;50863
10050803;Отравление метилсемустином;T45.1;50864
10050804;Отравление метилсульфат парами;T59.8;50865
10050805;Отравление метилсульфатом;T59.8;50866
10050806;Отравление метилсульфатом жидкостью;T52.8;50867
10050807;Отравление метилтестостероном;T38.7;50868
10050808;Отравление метилтионинхлоридом;T50.6;50869
10050809;Отравление метилтиоурацилом;T38.2;50870
10050810;Отравление метилфенидатом;T43.6;50871
10050811;Отравление метилфенобарбиталом;T42.3;50872
10050812;Отравление метилхлоридом;T59.8;50873
10050813;Отравление метилхлоридом газом;T59.8;50874
10050814;Отравление метилхлороформиатом;T59.3;50875
10050815;Отравление метилхлорфеноксиуксусной кислотой;T60.3;50876
10050816;Отравление метилцеллюлозой;T47.4;50877
10050817;Отравление метилцеллюлозой как легким слабительным средством;T47.4;50878
10050818;Отравление метилциклогексанолом;T51.8;50879
10050819;Отравление метилциклогексаном;T52.8;50880
10050820;Отравление метилциклогексаноном;T52.8;50881
10050821;Отравление метилциклогексилацетатом;T52.8;50882
10050822;Отравление метилэргометрином;T48.0;50883
10050823;Отравление метилэргоновином;T48.0;50884
10050824;Отравление метилэстренолоном;T38.5;50885
10050825;Отравление метилэтилкетоном;T52.4;50886
10050826;Отравление метилэтилцеллюлозой;T50.9;50887
10050827;Отравление метимазолом;T38.2;50888
10050828;Отравление метиодал-натрием;T50.8;50889
10050829;Отравление метионином;T50.9;50890
10050830;Отравление метипранололом;T49.5;50891
10050831;Отравление метиприлоном;T42.6;50892
10050832;Отравление метирапоном;T50.8;50893
10050833;Отравление метирозином;T46.5;50894
10050834;Отравление метисазоном;T37.5;50895
10050835;Отравление метисергидом;T46.5;50896
10050836;Отравление метициллином;T36.0;50897
10050837;Отравление метогекситалом;T41.1;50898
10050838;Отравление метогекситоном;T41.1;50899
10050839;Отравление метоином;T42.0;50900
10050840;Отравление метокарбамолом;T42.8;50901
10050841;Отравление метокарбамолом как релаксантом скелетных мышц;T48.1;50902
10050842;Отравление метоклопрамидом;T45.0;50903
10050843;Отравление метоксаленом;T50.9;50904
10050844;Отравление метоксамином;T44.4;50905
10050845;Отравление метоксианилином;T65.3;50906
10050846;Отравление метокси-ДДТ;T53.7;50907
10050847;Отравление метоксифенамином;T48.6;50908
10050848;Отравление метоксифлураном;T41.0;50909
10050849;Отравление метоксихлором;T53.7;50910
10050850;Отравление метолазоном;T50.2;50911
10050851;Отравление метоприном;T45.1;50912
10050852;Отравление метопрололом;T44.7;50913
10050853;Отравление метопромазином;T43.3;50914
10050854;Отравление метосерпидином;T46.5;50915
10050855;Отравление метотрексатом;T45.1;50916
10050856;Отравление метотримепразином;T43.3;50917
10050857;Отравление метофеназатом;T43.3;50918
10050858;Отравление метризамидом;T50.8;50919
10050859;Отравление метризоевой кислотой;T50.8;50920
10050860;Отравление метрифонатом;T60.0;50921
10050861;Отравление метронидазолом;T37.8;50922
10050862;Отравление метскополамин-бромидом;T44.3;50923
10050863;Отравление метсуксимидом;T42.2;50924
10050864;Отравление метформином;T38.3;50925
10050865;Отравление мефебарбиталом;T42.3;50926
10050866;Отравление мефенамовой кислотой;T39.3;50927
10050867;Отравление мефенгидрамином;T45.0;50928
10050868;Отравление мефенезином;T42.8;50929
10050869;Отравление мефенитоином;T42.0;50930
10050870;Отравление мефенитоином с фенобарбиталом;T42.3;50931
10050871;Отравление мефеноксалоном;T42.8;50932
10050872;Отравление мефенорексом;T50.5;50933
10050873;Отравление мефентермином;T44.9;50934
10050874;Отравление мефлохином;T37.2;50935
10050875;Отравление мефобарбиталом;T42.3;50936
10050876;Отравление мефосфоланом;T60.0;50937
10050877;Отравление мефрузидом;T50.2;50938
10050878;Отравление мехлорэтамином;T45.1;50939
10050879;Отравление мециллинамом;T36.0;50940
10050880;Отравление мецистеином;T48.4;50941
10050881;Отравление миансерином;T43.0;50942
10050882;Отравление мивакурия хлоридом;T48.1;50943
10050883;Отравление мидазоламом;T42.4;50944
10050884;Отравление мидекамицином;T36.3;50945
10050885;Отравление мидиями;T61.2;50946
10050886;Отравление мидиями бактериальное;A05.9;50947
10050887;Отравление мидиями вредными для здоровья;T61.2;50948
10050888;Отравление мидиями ядовитыми;T61.2;50949
10050889;Отравление мидриатическим средством;T49.5;50950
10050890;Отравление мизонидазолом;T37.3;50951
10050891;Отравление мизопростолом;T47.1;50952
10050892;Отравление миконазолом;T49.0;50953
10050893;Отравление микотоксинами;T64;50954
10050894;Отравление микрономицином;T36.5;50955
10050895;Отравление микроэлементами;T45.8;50956
10050896;Отравление микстурой от кашля;T48.4;50957
10050897;Отравление милверином;T44.3;50958
10050898;Отравление минаксолоном;T41.2;50959
10050899;Отравление минаприном;T43.2;50960
10050900;Отравление миндальной кислотой;T37.8;50961
10050901;Отравление минералокортикоидами;T50.0;50962
10050902;Отравление минералокортикоидами соль-удерживающими;T50.0;50963
10050903;Отравление минералокортикостероидом;T50.0;50964
10050904;Отравление минеральной кислотой;T54.2;50965
10050905;Отравление минеральными маслами;T52.0;50966
10050906;Отравление минеральными маслами как легким слабительным средством;T52.0;50967
10050907;Отравление минеральными маслами, используемыми для медицинских целей;T52.0;50968
10050908;Отравление минеральными маслами, используемыми не для медицинских целей;T52.0;50969
10050909;Отравление миноксидилом;T46.7;50970
10050910;Отравление миноциклином;T36.4;50971
10050911;Отравление миокамицином;T36.3;50972
10050912;Отравление миотическим средством;T49.5;50973
10050913;Отравление мипафоксом;T60.0;50974
10050914;Отравление миралактом;T49.0;50975
10050915;Отравление мирексом;T60.1;50976
10050916;Отравление миристицином;T65.8;50977
10050917;Отравление митобронитолом;T45.1;50978
10050918;Отравление митогуазоном;T45.1;50979
10050919;Отравление митоксантроном;T45.1;50980
10050920;Отравление митолактолом;T45.1;50981
10050921;Отравление митомицином;T45.1;50982
10050922;Отравление митоподозидом;T45.1;50983
10050923;Отравление митотаном;T45.1;50984
10050924;Отравление митрамицином;T45.1;50985
10050925;Отравление мифепристоном;T38.6;50986
10050926;Отравление мияри бактериями;T47.6;50987
10050927;Отравление моклобемидом;T43.1;50988
10050928;Отравление моксаверином;T44.3;50989
10050929;Отравление моксастином;T45.0;50990
10050930;Отравление моксисилитом;T46.7;50991
10050931;Отравление моксифенсином;T43.2;50992
10050932;Отравление молиндоном;T43.5;50993
10050933;Отравление моллюсками;T61.2;50994
10050934;Отравление моллюсками бактериальное;A05.9;50995
10050935;Отравление моллюсками вредными для здоровья, незараженными бактериями;T61.2;50996
10050936;Отравление моллюсками ядовитыми;T61.2;50997
10050937;Отравление молочной кислотой;T49.8;50998
10050938;Отравление молсидомином;T46.3;50999
10050939;Отравление мометазоном;T49.0;51000
10050940;Отравление моноаминоксидазы ингибиторами;T43.1;51001
10050941;Отравление моноаминоксидазы ингибиторами из группы гидразина;T43.1;51002
10050942;Отравление монобензоном;T49.4;51003
10050943;Отравление моноксидин-гидрохлоридом;T46.1;51004
10050944;Отравление монооктаноином;T50.9;51005
10050945;Отравление моносульфирамом;T49.0;51006
10050946;Отравление монофенилбутазоном;T39.2;51007
10050947;Отравление монохлоробензолом;T53.7;51008
10050948;Отравление монохлоруксусной кислотой;T60.3;51009
10050949;Отравление моноэтаноламина олеатом;T46.8;51010
10050950;Отравление моноэтаноламином;T46.8;51011
10050951;Отравление монуроном;T60.3;51012
10050952;Отравление мопероном;T43.4;51013
10050953;Отравление мопидамолом;T45.1;51014
10050954;Отравление морепродуктами;T61.9;51015
10050955;Отравление морепродуктами бактериальное;A05.9;51016
10050956;Отравление морепродуктами уточненное;T61.8;51017
10050957;Отравление морепродуктами ядовитыми;T61.9;51018
10050958;Отравление морилкой;T60.9;51019
10050959;Отравление моринамидом;T37.1;51020
10050960;Отравление морнифлуматом;T39.3;51021
10050961;Отравление мороксидином;T37.5;51022
10050962;Отравление морсуксимидом;T42.2;51023
10050963;Отравление морфазинамидом;T37.1;51024
10050964;Отравление морфина антагонистом;T50.7;51025
10050965;Отравление морфином;T40.2;51026
10050966;Отравление мосапрамином;T43.5;51027
10050967;Отравление мофебутазоном;T39.2;51028
10050968;Отравление мочевиной;T47.3;51029
10050969;Отравление мочевины перекисью;T49.0;51030
10050970;Отравление мочевины стибамином;T37.4;51031
10050971;Отравление мочевым антибактериальным средством;T37.8;51032
10050972;Отравление моющим средством;T49.2;51033
10050973;Отравление моющим средством местного действия;T49.2;51034
10050974;Отравление моющим средством от краски;T52.9;51035
10050975;Отравление моющим средством от лака;T52.9;51036
10050976;Отравление моющим средством уточненным;T49.2;51037
10050977;Отравление моющим средством, используемым для медицинских целей;T49.2;51038
10050978;Отравление моющим средством, используемым не для медицинских целей;T55;51039
10050979;Отравление мужского папоротника экстрактом;T37.4;51040
10050980;Отравление муколитическими средствами;T48.4;51041
10050981;Отравление мупироцином;T49.0;51042
10050982;Отравление муравьиной кислотой;T54.2;51043
10050983;Отравление муравьиной кислоты парами;T59.8;51044
10050984;Отравление муравьиным ядом;T47.1;51045
10050985;Отравление муромонабом-CDS;T45.1;51046
10050986;Отравление мустином;T45.1;51047
10050987;Отравление мылом;T55;51048
10050988;Отравление мылом в брусках;T55;51049
10050989;Отравление мылом пережиренным;T49.2;51050
10050990;Отравление мылом порошком;T55;51051
10050991;Отравление мыльной клизмой;T47.4;51052
10050992;Отравление мясом порченым;T62.8;51053
10050993;Отравление мятой;T47.5;51054
10050994;Отравление набилоном;T40.7;51055
10050995;Отравление набуметоном;T39.3;51056
10050996;Отравление надололом;T44.7;51057
10050997;Отравление налбуфином;T40.4;51058
10050998;Отравление наледом;T60.0;51059
10050999;Отравление налидиксовой кислотой;T37.8;51060
10051000;Отравление налоксоном;T50.7;51061
10051001;Отравление налорфином;T50.7;51062
10051002;Отравление налтрексоном;T50.7;51063
10051003;Отравление наперстянки гликозидами;T46.0;51064
10051004;Отравление наперстянки листом;T46.0;51065
10051005;Отравление наперстянкой;T46.0;51066
10051006;Отравление наполнителем;T50.5;51067
10051007;Отравление наполнителем для создания массы;T50.5;51068
10051008;Отравление наполнителем как слабительным средством;T47.4;51069
10051009;Отравление напроксеном;T39.3;51070
10051010;Отравление наркотиком;T40.6;51071
10051011;Отравление наркотиком синтетическим;T40.4;51072
10051012;Отравление насекомым ядовитым;T63.4;51073
10051013;Отравление настойкой валерианы;T42.6;51074
10051014;Отравление настойкой йода;T49.0;51075
10051015;Отравление настойкой опия;T40.0;51076
