ID;S_NAME;ICD10;SORT
10001078;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся надрывом широкой связки матки;O04.8;1082
10001079;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся нарушением водно-солевого баланса;O04.8;1083
10001080;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся олигурией;O04.8;1084
10001081;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся оофоритом;O04.5;1085
10001082;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся остановкой сердца;O04.8;1086
10001083;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся острой почечной недостаточностью;O04.8;1087
10001084;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся параметритом;O04.5;1088
10001085;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прекращением функции почек;O04.8;1089
10001086;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прободением кишечника;O04.8;1090
10001087;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прободением матки;O04.8;1091
10001088;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прободением мочевого пузыря;O04.8;1092
10001089;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прободением периуретальной ткани;O04.8;1093
10001090;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прободением шейки матки;O04.8;1094
10001091;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся прободением широкой связки матки;O04.8;1095
10001092;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся разрывом кишечника;O04.8;1096
10001093;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся разрывом матки;O04.8;1097
10001094;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся разрывом периуретальной ткани;O04.8;1098
10001095;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся разрывом шейки матки;O04.8;1099
10001096;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся разрывом широкой связки матки;O04.8;1100
10001097;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся сальпингитом;O04.5;1101
10001098;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся сальпингоофоритом;O04.5;1102
10001099;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся сепсисом;O04.5;1103
10001100;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся септицемией;O04.5;1104
10001101;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся септическим шоком;O04.5;1105
10001102;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся сосудистым коллапсом;O04.8;1106
10001103;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся тазовым перитонитом;O04.5;1107
10001104;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся тубулярным некрозом;O04.8;1108
10001105;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся уремией;O04.8;1109
10001106;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся химическим повреждением кишечника;O04.8;1110
10001107;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся химическим повреждением матки;O04.8;1111
10001108;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся химическим повреждением мочевого пузыря;O04.8;1112
10001109;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся химическим повреждением периуретальной ткани;O04.8;1113
10001110;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся химическим повреждением шейки матки;O04.8;1114
10001111;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся химическим повреждением широкой связки матки;O04.8;1115
10001112;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся чрезмерным кровотечением;O04.6;1116
10001113;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся шоком;O04.8;1117
10001114;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся эмболией;O04.7;1118
10001115;Аборт по медицинским показаниям при психических расстройствах полный, осложнившийся эндометритом;O04.5;1119
10001116;Аборт по медицинским показаниям при психических расстройствах полный, с венозными осложнениями;O04.8;1120
10001117;Аборт полный самопроизвольный, влияние на новорожденного;P01.8;1121
10001118;Аборт полный самопроизвольный, влияние на плод;P01.8;1122
10001119;Аборт привычный;N96;1123
10001120;Аборт привычный повторный;N96;1124
10001121;Аборт привычный повторный, медицинская помощь вне периода беременности;N96;1125
10001122;Аборт привычный, влияние на плод;P01.8;1126
10001123;Аборт привычный, медицинская помощь вне периода беременности;N96;1127
10001124;Аборт привычный, медицинская помощь во время беременности;O26.2;1128
10001125;Аборт самопроизвольный неполный без осложнений;O03.4;1129
10001126;Аборт самопроизвольный неполный, осложнившийся анурией;O03.3;1130
10001127;Аборт самопроизвольный неполный, осложнившийся длительным кровотечением;O03.1;1131
10001128;Аборт самопроизвольный неполный, осложнившийся инфекцией мочевых путей;O03.0;1132
10001129;Аборт самопроизвольный неполный, осложнившийся мочевого пузыря;O03.3;1133
10001130;Аборт самопроизвольный неполный, осложнившийся надрывом кишечника;O03.3;1134
10001131;Аборт самопроизвольный неполный, осложнившийся надрывом матки;O03.3;1135
10001132;Аборт самопроизвольный неполный, осложнившийся надрывом мочевого пузыря;O03.3;1136
10001133;Аборт самопроизвольный неполный, осложнившийся надрывом периуретальной ткани;O03.3;1137
10001134;Аборт самопроизвольный неполный, осложнившийся надрывом шейки матки;O03.3;1138
10001135;Аборт самопроизвольный неполный, осложнившийся надрывом широкой связки матки;O03.3;1139
10001136;Аборт самопроизвольный неполный, осложнившийся нарушением водно-солевого баланса;O03.3;1140
10001137;Аборт самопроизвольный неполный, осложнившийся олигурией;O03.3;1141
10001138;Аборт самопроизвольный неполный, осложнившийся оофоритом;O03.0;1142
10001139;Аборт самопроизвольный неполный, осложнившийся остановкой сердца;O03.3;1143
10001140;Аборт самопроизвольный неполный, осложнившийся острой почечной недостаточностью;O03.3;1144
10001141;Аборт самопроизвольный неполный, осложнившийся параметритом;O03.0;1145
10001142;Аборт самопроизвольный неполный, осложнившийся прекращением функции почек;O03.3;1146
10001143;Аборт самопроизвольный неполный, осложнившийся прободением кишечника;O03.3;1147
10001144;Аборт самопроизвольный неполный, осложнившийся прободением матки;O03.3;1148
10001145;Аборт самопроизвольный неполный, осложнившийся прободением мочевого пузыря;O03.3;1149
10001146;Аборт самопроизвольный неполный, осложнившийся прободением периуретальной ткани;O03.3;1150
10001147;Аборт самопроизвольный неполный, осложнившийся прободением шейки матки;O03.3;1151
10001148;Аборт самопроизвольный неполный, осложнившийся прободением широкой связки матки;O03.3;1152
10001149;Аборт самопроизвольный неполный, осложнившийся разрывом кишечника;O03.3;1153
10001150;Аборт самопроизвольный неполный, осложнившийся разрывом матки;O03.3;1154
10001151;Аборт самопроизвольный неполный, осложнившийся разрывом периуретальной ткани;O03.3;1155
10001152;Аборт самопроизвольный неполный, осложнившийся разрывом шейки матки;O03.3;1156
10001153;Аборт самопроизвольный неполный, осложнившийся разрывом широкой связки матки;O03.3;1157
10001154;Аборт самопроизвольный неполный, осложнившийся сальпингитом;O03.0;1158
10001155;Аборт самопроизвольный неполный, осложнившийся сальпингоофоритом;O03.0;1159
10001156;Аборт самопроизвольный неполный, осложнившийся сепсисом;O03.0;1160
10001157;Аборт самопроизвольный неполный, осложнившийся сосудистым коллапсом;O03.3;1161
10001158;Аборт самопроизвольный неполный, осложнившийся тазовым перитонитом;O03.0;1162
10001159;Аборт самопроизвольный неполный, осложнившийся тубулярным некрозом;O03.3;1163
10001160;Аборт самопроизвольный неполный, осложнившийся уремией;O03.3;1164
10001161;Аборт самопроизвольный неполный, осложнившийся химическим повреждением кишечника;O03.3;1165
10001162;Аборт самопроизвольный неполный, осложнившийся химическим повреждением матки;O03.3;1166
10001163;Аборт самопроизвольный неполный, осложнившийся химическим повреждением мочевого пузыря;O03.3;1167
10001164;Аборт самопроизвольный неполный, осложнившийся химическим повреждением периуретальной ткани;O03.3;1168
10001165;Аборт самопроизвольный неполный, осложнившийся химическим повреждением шейки матки;O03.3;1169
10001166;Аборт самопроизвольный неполный, осложнившийся химическим повреждением широкой связки матки;O03.3;1170
10001167;Аборт самопроизвольный неполный, осложнившийся чрезмерным кровотечением;O03.2;1171
10001168;Аборт самопроизвольный неполный, осложнившийся шоком;O03.3;1172
10001169;Аборт самопроизвольный неполный, осложнившийся эмболией;O03.2;1173
10001170;Аборт самопроизвольный неполный, осложнившийся эндометритом;O03.0;1174
10001171;Аборт самопроизвольный неполный, с венозными осложнениями;O03.3;1175
10001172;Аборт самопроизвольный несостоявшийся;O02.1;1176
10001173;Аборт самопроизвольный неуточненный без осложнений;O03.9;1177
10001174;Аборт самопроизвольный неуточненный, осложнившийся анурией;O03.8;1178
10001175;Аборт самопроизвольный неуточненный, осложнившийся длительным кровотечением;O03.6;1179
10001176;Аборт самопроизвольный неуточненный, осложнившийся инфекцией мочевых путей;O03.8;1180
10001177;Аборт самопроизвольный неуточненный, осложнившийся мочевого пузыря;O03.8;1181
10001178;Аборт самопроизвольный неуточненный, осложнившийся надрывом кишечника;O03.8;1182
10001179;Аборт самопроизвольный неуточненный, осложнившийся надрывом матки;O03.8;1183
10001180;Аборт самопроизвольный неуточненный, осложнившийся надрывом мочевого пузыря;O03.8;1184
10001181;Аборт самопроизвольный неуточненный, осложнившийся надрывом периуретальной ткани;O03.8;1185
10001182;Аборт самопроизвольный неуточненный, осложнившийся надрывом шейки матки;O03.8;1186
10001183;Аборт самопроизвольный неуточненный, осложнившийся надрывом широкой связки матки;O03.8;1187
10001184;Аборт самопроизвольный неуточненный, осложнившийся нарушением водно-солевого баланса;O03.8;1188
10001185;Аборт самопроизвольный неуточненный, осложнившийся олигурией;O03.8;1189
10001186;Аборт самопроизвольный неуточненный, осложнившийся оофоритом;O03.5;1190
10001187;Аборт самопроизвольный неуточненный, осложнившийся остановкой сердца;O03.8;1191
10001188;Аборт самопроизвольный неуточненный, осложнившийся острой почечной недостаточностью;O03.8;1192
10001189;Аборт самопроизвольный неуточненный, осложнившийся параметритом;O03.5;1193
10001190;Аборт самопроизвольный неуточненный, осложнившийся прекращением функции почек;O03.8;1194
10001191;Аборт самопроизвольный неуточненный, осложнившийся прободением кишечника;O03.8;1195
10001192;Аборт самопроизвольный неуточненный, осложнившийся прободением матки;O03.8;1196
10001193;Аборт самопроизвольный неуточненный, осложнившийся прободением мочевого пузыря;O03.8;1197
10001194;Аборт самопроизвольный неуточненный, осложнившийся прободением периуретальной ткани;O03.8;1198
10001195;Аборт самопроизвольный неуточненный, осложнившийся прободением шейки матки;O03.8;1199
10001196;Аборт самопроизвольный неуточненный, осложнившийся прободением широкой связки матки;O03.8;1200
10001197;Аборт самопроизвольный неуточненный, осложнившийся разрывом кишечника;O03.8;1201
10001198;Аборт самопроизвольный неуточненный, осложнившийся разрывом матки;O03.8;1202
10001199;Аборт самопроизвольный неуточненный, осложнившийся разрывом периуретальной ткани;O03.8;1203
10001200;Аборт самопроизвольный неуточненный, осложнившийся разрывом шейки матки;O03.8;1204
10001201;Аборт самопроизвольный неуточненный, осложнившийся разрывом широкой связки матки;O03.8;1205
10001202;Аборт самопроизвольный неуточненный, осложнившийся сальпингитом;O03.5;1206
10001203;Аборт самопроизвольный неуточненный, осложнившийся сальпингоофоритом;O03.5;1207
10001204;Аборт самопроизвольный неуточненный, осложнившийся сепсисом;O03.5;1208
10001205;Аборт самопроизвольный неуточненный, осложнившийся септицемией;O03.5;1209
10001206;Аборт самопроизвольный неуточненный, осложнившийся септическим шоком;O03.5;1210
10001207;Аборт самопроизвольный неуточненный, осложнившийся сосудистым коллапсом;O03.8;1211
10001208;Аборт самопроизвольный неуточненный, осложнившийся тазовым перитонитом;O03.5;1212
10001209;Аборт самопроизвольный неуточненный, осложнившийся тубулярным некрозом;O03.8;1213
10001210;Аборт самопроизвольный неуточненный, осложнившийся уремией;O03.8;1214
10001211;Аборт самопроизвольный неуточненный, осложнившийся химическим повреждением кишечника;O03.8;1215
10001212;Аборт самопроизвольный неуточненный, осложнившийся химическим повреждением матки;O03.8;1216
10001213;Аборт самопроизвольный неуточненный, осложнившийся химическим повреждением мочевого пузыря;O03.8;1217
10001214;Аборт самопроизвольный неуточненный, осложнившийся химическим повреждением периуретальной ткани;O03.8;1218
10001215;Аборт самопроизвольный неуточненный, осложнившийся химическим повреждением шейки матки;O03.8;1219
10001216;Аборт самопроизвольный неуточненный, осложнившийся химическим повреждением широкой связки матки;O03.8;1220
10001217;Аборт самопроизвольный неуточненный, осложнившийся чрезмерным кровотечением;O03.6;1221
10001218;Аборт самопроизвольный неуточненный, осложнившийся шоком;O03.8;1222
10001219;Аборт самопроизвольный неуточненный, осложнившийся эмболией;O03.7;1223
10001220;Аборт самопроизвольный неуточненный, осложнившийся эндометритом;O03.5;1224
10001221;Аборт самопроизвольный неуточненный, с венозными осложнениями;O03.8;1225
10001222;Аборт самопроизвольный полный без осложнений;O03.9;1226
10001223;Аборт самопроизвольный полный, осложнившийся анурией;O03.8;1227
10001224;Аборт самопроизвольный полный, осложнившийся длительным кровотечением;O03.6;1228
10001225;Аборт самопроизвольный полный, осложнившийся инфекцией мочевых путей;O03.8;1229
10001226;Аборт самопроизвольный полный, осложнившийся мочевого пузыря;O03.8;1230
10001227;Аборт самопроизвольный полный, осложнившийся надрывом кишечника;O03.8;1231
10001228;Аборт самопроизвольный полный, осложнившийся надрывом матки;O03.8;1232
10001229;Аборт самопроизвольный полный, осложнившийся надрывом мочевого пузыря;O03.8;1233
10001230;Аборт самопроизвольный полный, осложнившийся надрывом периуретальной ткани;O03.8;1234
10001231;Аборт самопроизвольный полный, осложнившийся надрывом шейки матки;O03.8;1235
10001232;Аборт самопроизвольный полный, осложнившийся надрывом широкой связки матки;O03.8;1236
10001233;Аборт самопроизвольный полный, осложнившийся нарушением водно-солевого баланса;O03.8;1237
10001234;Аборт самопроизвольный полный, осложнившийся олигурией;O03.8;1238
10001235;Аборт самопроизвольный полный, осложнившийся оофоритом;O03.5;1239
10001236;Аборт самопроизвольный полный, осложнившийся остановкой сердца;O03.8;1240
10001237;Аборт самопроизвольный полный, осложнившийся острой почечной недостаточностью;O03.8;1241
10001238;Аборт самопроизвольный полный, осложнившийся параметритом;O03.5;1242
10001239;Аборт самопроизвольный полный, осложнившийся прекращением функции почек;O03.8;1243
10001240;Аборт самопроизвольный полный, осложнившийся прободением кишечника;O03.8;1244
10001241;Аборт самопроизвольный полный, осложнившийся прободением матки;O03.8;1245
10001242;Аборт самопроизвольный полный, осложнившийся прободением мочевого пузыря;O03.8;1246
10001243;Аборт самопроизвольный полный, осложнившийся прободением периуретальной ткани;O03.8;1247
10001244;Аборт самопроизвольный полный, осложнившийся прободением шейки матки;O03.8;1248
10001245;Аборт самопроизвольный полный, осложнившийся прободением широкой связки матки;O03.8;1249
10001246;Аборт самопроизвольный полный, осложнившийся разрывом кишечника;O03.8;1250
10001247;Аборт самопроизвольный полный, осложнившийся разрывом матки;O03.8;1251
10001248;Аборт самопроизвольный полный, осложнившийся разрывом периуретальной ткани;O03.8;1252
10001249;Аборт самопроизвольный полный, осложнившийся разрывом шейки матки;O03.8;1253
10001250;Аборт самопроизвольный полный, осложнившийся разрывом широкой связки матки;O03.8;1254
10001251;Аборт самопроизвольный полный, осложнившийся сальпингитом;O03.5;1255
10001252;Аборт самопроизвольный полный, осложнившийся сальпингоофоритом;O03.5;1256
10001253;Аборт самопроизвольный полный, осложнившийся сепсисом;O03.5;1257
10001254;Аборт самопроизвольный полный, осложнившийся септицемией;O03.5;1258
10001255;Аборт самопроизвольный полный, осложнившийся септическим шоком;O03.5;1259
10001256;Аборт самопроизвольный полный, осложнившийся сосудистым коллапсом;O03.8;1260
10001257;Аборт самопроизвольный полный, осложнившийся тазовым перитонитом;O03.5;1261
10001258;Аборт самопроизвольный полный, осложнившийся тубулярным некрозом;O03.8;1262
10001259;Аборт самопроизвольный полный, осложнившийся уремией;O03.8;1263
10001260;Аборт самопроизвольный полный, осложнившийся химическим повреждением кишечника;O03.8;1264
10001261;Аборт самопроизвольный полный, осложнившийся химическим повреждением матки;O03.8;1265
10001262;Аборт самопроизвольный полный, осложнившийся химическим повреждением мочевого пузыря;O03.8;1266
10001263;Аборт самопроизвольный полный, осложнившийся химическим повреждением периуретальной ткани;O03.8;1267
10001264;Аборт самопроизвольный полный, осложнившийся химическим повреждением шейки матки;O03.8;1268
10001265;Аборт самопроизвольный полный, осложнившийся химическим повреждением широкой связки матки;O03.8;1269
10001266;Аборт самопроизвольный полный, осложнившийся чрезмерным кровотечением;O03.6;1270
10001267;Аборт самопроизвольный полный, осложнившийся шоком;O03.8;1271
10001268;Аборт самопроизвольный полный, осложнившийся эмболией;O03.7;1272
10001269;Аборт самопроизвольный полный, осложнившийся эндометритом;O03.5;1273
10001270;Аборт самопроизвольный полный, с венозными осложнениями;O03.8;1274
10001271;Аборт самопроизвольный угрожающий;O20.0;1275
10001272;Аборт самопроизвольный угрожающий, влияние на новорожденного;P01.8;1276
10001273;Аборт самопроизвольный угрожающий, влияние на плод;P01.8;1277
10001274;Аборт трубный;O00.1;1278
10001275;Аборта влияние на плод;P96.4;1279
10001276;Аборта искусственного влияние на плод;P96.4;1280
10001277;Аборта легального влияние на плод;P96.4;1281
10001278;Аборта медицинского влияние на плод;P96.4;1282
10001279;Аборта по медицинским показаниям влияние на плод;P96.4;1283
10001280;Абрами болезнь;D59.8;1284
10001281;Абсорбция акушерского анальгезирующего лекарственного средства через плаценту;P04.0;1285
10001282;Абсорбция акушерского анальгезирующего лекарственного средства через плаценту, влияние на новорожденного;P04.0;1286
10001283;Абсорбция акушерского анальгезирующего лекарственного средства через плаценту, влияние на плод;P04.0;1287
10001284;Абсорбция акушерского анальгезирующего лекарственного средства через плаценту, влияющая на новорожденного;P04.0;1288
10001285;Абсорбция акушерского анальгезирующего лекарственного средства через плаценту, влияющая на плод;P04.0;1289
10001286;Абсорбция акушерского анестезирующего лекарственного средства через плаценту;P04.0;1290
10001287;Абсорбция акушерского анестезирующего лекарственного средства через плаценту, влияние на новорожденного;P04.0;1291
10001288;Абсорбция акушерского анестезирующего лекарственного средства через плаценту, влияние на плод;P04.0;1292
10001289;Абсорбция акушерского анестезирующего лекарственного средства через плаценту, влияющая на новорожденного;P04.0;1293
10001290;Абсорбция акушерского анестезирующего лекарственного средства через плаценту, влияющая на плод;P04.0;1294
10001291;Абсорбция белка нарушенная;K90.4;1295
10001292;Абсорбция жира нарушенная;K90.4;1296
10001293;Абсорбция жира нарушенная панкреатическая;K90.3;1297
10001294;Абсорбция крахмала нарушенная;K90.4;1298
10001295;Абсорбция лекарственного средства;T88.7;1299
10001296;Абсорбция лекарственного средства вызывающего зависимость через плаценту, влиние на новорожденного;P04.4;1300
10001297;Абсорбция лекарственного средства вызывающего зависимость через плаценту, влиние на новорожденного, предполагаемая, влияющая на принципы наблюдения за беременной;O35.5;1301
10001298;Абсорбция лекарственного средства вызывающего зависимость через плаценту, влиние на плод;P04.4;1302
10001299;Абсорбция лекарственного средства вызывающего зависимость через плаценту, влиние на плод, предполагаемая, влияющая на принципы наблюдения за беременной;O35.5;1303
10001300;Абсорбция лекарственного средства через плаценту;P04.1;1304
10001301;Абсорбция лекарственного средства через плаценту, влияние на новорожденного;P04.1;1305
10001302;Абсорбция лекарственного средства через плаценту, влияние на плод;P04.1;1306
10001303;Абсорбция медикаментов, применяемых матерью, через плаценту;P04.9;1307
10001304;Абсорбция медикаментов, применяемых матерью, через плаценту, влияние на новорожденного;P04.9;1308
10001305;Абсорбция медикаментов, применяемых матерью, через плаценту, влияние на плод;P04.9;1309
10001306;Абсорбция углеводов нарушенная;K90.4;1310
10001307;Абсорбция химического вещества;T65.9;1311
10001308;Абсорбция химического вещества через плаценту;P04.8;1312
10001309;Абсорбция химического вещества через плаценту предполагаемая, требующая предоставления медицинской помощи матери;O35.8;1313
10001310;Абсорбция химического вещества через плаценту, влияние на новорожденного;P04.8;1314
10001311;Абсорбция химического вещества через плаценту, влияние на плод;P04.8;1315
10001312;Абсорбция химического вещества, содержащегося в окружающей среде, через плаценту;P04.6;1316
10001313;Абсорбция химического пищевого вещества через плаценту;P04.5;1317
10001314;Абсорбция через плаценту акушерского анальгезирующего лекарственного средства;P04.0;1318
10001315;Абсорбция через плаценту акушерского анестезирующего лекарственного средства;P04.0;1319
10001316;Абстинентное состояние алкогольное;F10.3;1320
10001317;Абстинентное состояние алкогольное с делирием;F10.4;1321
10001318;Абстинентное состояние новорожденного, скорректированное терапевтическими средствами, правильно назначенными;P96.2;1322
10001319;Абстинентное состояние с делирием, вызванное амфетамином;F15.4;1323
10001320;Абстинентное состояние с делирием, вызванное амфетамином или родственными веществами;F15.4;1324
10001321;Абстинентное состояние с делирием, вызванное галлюциногенами;F16.4;1325
10001322;Абстинентное состояние с делирием, вызванное кокаином;F14.3;1326
10001323;Абстинентное состояние с делирием, вызванное летучими растворителями;F18.4;1327
10001324;Абстинентное состояние с делирием, вызванное наркотиками;F19.4;1328
10001325;Абстинентное состояние с делирием, вызванное опиоидами;F11.4;1329
10001326;Абстинентное состояние с делирием, вызванное психоактивными веществами;F19.4;1330
10001327;Абстинентное состояние с делирием, вызванное седативными веществами;F13.4;1331
10001328;Абстинентное состояние с делирием, вызванное снотворными веществами;F13.4;1332
10001329;Абстинентное состояние с делирием, вызванное стимуляторами;F15.4;1333
10001330;Абстинентное состояние с делирием, вызванное фенциклидиновой группой РСР;F19.4;1334
10001331;Абстинентное состояние стероидной при неправильно выданном препарате;T38.0;1335
10001332;Абстинентное состояние стероидной при неправильно принятом препарате;T38.0;1336
10001333;Абстинентное состояние стероидной при передозировке;T38.0;1337
10001334;Абстинентное состояние у новорожденного, вызванное наркотической зависимостью матери;P96.1;1338
10001335;Абстинентное состояние, вызванное амфетамином;F15.3;1339
10001336;Абстинентное состояние, вызванное амфетамином или родственными веществами;F15.3;1340
10001337;Абстинентное состояние, вызванное анксиолитическим средством;F13.4;1341
10001338;Абстинентное состояние, вызванное галлюциногенами;F16.3;1342
10001339;Абстинентное состояние, вызванное каннабиноидами;F12.3;1343
10001340;Абстинентное состояние, вызванное кокаином;F14.4;1344
10001341;Абстинентное состояние, вызванное кофеином;F15.3;1345
10001342;Абстинентное состояние, вызванное летучими растворителями;F18.3;1346
10001343;Абстинентное состояние, вызванное наркотиками;F19.3;1347
10001344;Абстинентное состояние, вызванное опиоидами;F11.3;1348
10001345;Абстинентное состояние, вызванное психоактивными веществами;F19.3;1349
10001346;Абстинентное состояние, вызванное седативными веществами;F13.3;1350
10001347;Абстинентное состояние, вызванное снотворными веществами;F13.3;1351
10001348;Абстинентное состояние, вызванное стимуляторами;F15.3;1352
10001349;Абстинентное состояние, вызванное табаком;F17.3;1353
10001350;Абстинентное состояние, вызванное фенциклидиновой группой РСР;F19.3;1354
10001351;Абсцесс;L02.9;1355
10001352;Абсцесс альвеолярный;K04.7;1356
10001353;Абсцесс амебный;A06.4;1357
10001354;Абсцесс амебный головного мозга;A06.6;1358
10001355;Абсцесс амебный головного мозга с абсцессом легкого;A06.6;1359
10001356;Абсцесс амебный головного мозга с абсцессом печени;A06.6;1360
10001357;Абсцесс амебный легкого;A06.5;1361
10001358;Абсцесс амебный легкого без упоминания об абсцессе головного мозга;A06.5;1362
10001359;Абсцесс амебный легкого и печени;A06.5;1363
10001360;Абсцесс амебный печени;A06.4;1364
10001361;Абсцесс амебный печени без упоминания об абсцессе головного мозга;A06.4;1365
10001362;Абсцесс амебный печени без упоминания об абсцессе легкого;A06.4;1366
10001363;Абсцесс амебный селезенки;A06.8;1367
10001364;Абсцесс амебный уточненной локализации;A06.8;1368
10001365;Абсцесс анальный;K61.0;1369
10001366;Абсцесс аноректальный;K61.2;1370
10001367;Абсцесс апикальный;K04.7;1371
10001368;Абсцесс апикальный зуба;K04.7;1372
10001369;Абсцесс апикальный с полостью;K04.6;1373
10001370;Абсцесс апикальный с полостью альвеолярный;K04.6;1374
10001371;Абсцесс апокринной потовой железы;L75.8;1375
10001372;Абсцесс аппендикса;K35.3;1376
10001373;Абсцесс артерии;I77.8;1377
10001374;Абсцесс бартолиновой железы;N75.1;1378
10001375;Абсцесс бедра;L02.4;1379
10001376;Абсцесс Бецольда;H70.0;1380
10001377;Абсцесс боковой поверхности живота;L02.2;1381
10001378;Абсцесс большого пальца руки;L02.4;1382
10001379;Абсцесс большой половой губы;N76.4;1383
