 хромосом амниотической жидкости;R89.8;20571
10021061;Зависимость вследствие привыкания к психостимулятору;F15.2;21074
10021062;Зависимость вследствие привыкания к РСР;F19.2;21075
10021063;Зависимость вследствие привыкания к седативному средству;F13.2;21076
10021064;Зависимость вследствие привыкания к секобарбиталу;F13.2;21077
10021065;Зависимость вследствие привыкания к секобарбиталу натрия;F13.2;21078
10021066;Зависимость вследствие привыкания к синтетическому препарату морфиноподобного действия;F11.2;21079
10021067;Зависимость вследствие привыкания к снотворному средству;F13.2;21080
10021068;Зависимость вследствие привыкания к снотворным средствам;F13.2;21081
10021069;Зависимость вследствие привыкания к соединениям барбитурата;F13.2;21082
10021070;Зависимость вследствие привыкания к солям героина;F11.2;21083
10021071;Зависимость вследствие привыкания к средствам типа амфетамина;F15.2;21084
10021072;Зависимость вследствие привыкания к средствам типа дексамфетамина;F15.2;21085
10021073;Зависимость вследствие привыкания к средствам типа каннабиса;F12.2;21086
10021074;Зависимость вследствие привыкания к средствам типа морфина;F11.2;21087
10021075;Зависимость вследствие привыкания к стимулятору;F15.2;21088
10021076;Зависимость вследствие привыкания к табаку;F17.2;21089
10021077;Зависимость вследствие привыкания к табаку, консультирование и наблюдение;Z71.6;21090
10021078;Зависимость вследствие привыкания к фенметразину;F15.2;21091
10021079;Зависимость вследствие привыкания к фенобарбиталу;F13.2;21092
10021080;Зависимость вследствие привыкания к фенциклидину;F19.2;21093
10021081;Зависимость вследствие привыкания к фенциклидину и родственным веществам;F19.2;21094
10021082;Зависимость вследствие привыкания к хлоралу;F13.2;21095
10021083;Зависимость вследствие привыкания к хлордиазэпоксиду;F13.2;21096
10021084;Зависимость вследствие привыкания к этилбромиду;F13.2;21097
10021085;Зависимость вследствие привыкания к этилкарбамату;F19.2;21098
10021086;Зависимость вследствие привыкания к этилморфину;F11.2;21099
10021087;Зависимость вследствие привыкания к этиловому спирту;F10.2;21100
10021088;Зависимость вследствие привыкания к этилхлориду;F19.2;21101
10021089;Зависимость от аспиратора;Z99.0;21102
10021090;Зависимость от других вспомогательных механизмов;Z99.8;21103
10021091;Зависимость от других вспомогательных устройств;Z99.8;21104
10021092;Зависимость от искуственного сердца;Z99.4;21105
10021093;Зависимость от искуственной вентиляции;Z99.1;21106
10021094;Зависимость от кресла-каталки;Z99.3;21107
10021095;Зависимость от лица, обеспечивающего помощь и уход;Z74.9;21108
10021096;Зависимость от лица, обеспечивающего помощь и уход по причине ограничения способности передвигаться;Z74.0;21109
10021097;Зависимость от лица, обеспечивающего помощь и уход по причине отсутствия члена семьи, способного обеспечить уход;Z74.2;21110
10021098;Зависимость от лица, обеспечивающего помощь и уход по причине потребности в помощи при самообслуживании;Z74.1;21111
10021099;Зависимость от лица, обеспечивающего помощь и уход по причине потребности в постоянном наблюдении;Z74.3;21112
10021100;Зависимость от механизмов;Z99.9;21113
10021101;Зависимость от механизмов поддерживающих жизнедеятельность;Z99.9;21114
10021102;Зависимость от механизмов уточненного типа;Z99.8;21115
10021103;Зависимость от нюхания клея;F18.2;21116
10021104;Зависимость от почечного диализа;Z99.2;21117
10021105;Зависимость от респиратора;Z99.1;21118
10021106;Зависимость от устройств;Z99.9;21119
10021107;Зависимость от устройств поддерживающих жизнедеятельность;Z99.9;21120
10021108;Зависимость от устройств уточненного типа;Z99.8;21121
10021109;Заворот;K56.2;21122
10021110;Заворот врожденный;Q43.8;21123
10021111;Заворот желудка;K31.8;21124
10021112;Заворот желудка из-за отсутствия желудочно-ободочной связки;K31.8;21125
10021113;Заворот маточной трубы;N83.5;21126
10021114;Заворот ободочной кишки;K56.2;21127
10021115;Заворот тонкой кишки;K56.2;21128
10021116;Заворот яйцевода;N83.5;21129
10021117;Загиб Лейна;K56.6;21130
10021118;Заглатывание инородного тела;T18.9;21131
10021119;Загрудинный зоб;E04.9;21132
10021120;Задержка азота внепочечная;R39.2;21133
10021121;Задержка внутриматочного противозачаточного средства во время беременности;O26.3;21134
10021122;Задержка воды;R60.9;21135
10021123;Задержка воды в тканях;R60.9;21136
10021124;Задержка детского места;O72.0;21137
10021125;Задержка детского места без кровотечения;O73.0;21138
10021126;Задержка детского места после родоразрешения;O72.0;21139
10021127;Задержка детского места с кровотечением;O72.0;21140
10021128;Задержка детского места частичная;O72.2;21141
10021129;Задержка детского места частичная без кровотечения;O73.1;21142
10021130;Задержка детского места, осложняющая послеродовой период;O72.2;21143
10021131;Задержка детского места, осложняющая послеродовой период с поздним кровотечением;O72.2;21144
10021132;Задержка децидуальной ткани;O72.2;21145
10021133;Задержка децидуальной ткани без кровотечения;O73.1;21146
10021134;Задержка децидуальной ткани после родоразрешения;O72.2;21147
10021135;Задержка децидуальной ткани с кровотечением;O72.2;21148
10021136;Задержка дыхания;R06.8;21149
10021137;Задержка желудочковой проводимости;I45.8;21150
10021138;Задержка жидкости;R60.9;21151
10021139;Задержка закрытия артериального протока;P29.3;21152
10021140;Задержка закрытия боталлова протока;P29.3;21153
10021141;Задержка зубного корня;K08.3;21154
10021142;Задержка интеллектуального развития;F81.9;21155
10021143;Задержка кала;K59.0;21156
10021144;Задержка менструации;N94.8;21157
10021145;Задержка менструации в пубертатном периоде;N91.0;21158
10021146;Задержка менструации в пубертатном периоде по неизвестной причине;N91.0;21159
10021147;Задержка мигательного рефлекса века;H02.5;21160
10021148;Задержка мигательного рефлекса века нервная;H02.5;21161
10021149;Задержка молока;O92.7;21162
10021150;Задержка молока послеродовая;O92.7;21163
10021151;Задержка молочного зуба;K00.6;21164
10021152;Задержка мочи;R33;21165
10021153;Задержка мочи психогенная;F45.3;21166
10021154;Задержка оболочек плодного пузыря;O72.2;21167
10021155;Задержка оболочек плодного пузыря без кровотечения;O73.1;21168
10021156;Задержка оболочек плодного пузыря с кровотечением;O72.2;21169
10021157;Задержка оболочек плодного пузыря, осложняющая родоразрешение;O72.2;21170
10021158;Задержка плаценты;O72.0;21171
10021159;Задержка плаценты без кровотечения;O73.0;21172
10021160;Задержка плаценты полная;O72.0;21173
10021161;Задержка плаценты с кровотечением;O72.0;21174
10021162;Задержка погибшего плода;O36.4;21175
10021163;Задержка погибшего плода при несостоявшихся родах;O36.4;21176
10021164;Задержка погибшего яйца;O02.0;21177
10021165;Задержка полового развития;E30.0;21178
10021166;Задержка полового созревания;E30.0;21179
10021167;Задержка полового созревания конституциональная;E30.0;21180
10021168;Задержка последа;O72.0;21181
10021169;Задержка проводимости;I45.8;21182
10021170;Задержка продуктов оплодотворения после родоразрешения без кровотечения;O73.1;21183
10021171;Задержка продуктов оплодотворения после родоразрешения с кровотечением;O72.2;21184
10021172;Задержка продуктов оплодотворения при ранней беременности;O02.1;21185
10021173;Задержка развития;R62.8;21186
10021174;Задержка развития в результате ВИЧ болезни;B22.2;21187
10021175;Задержка развития генерализованная;F89;21188
10021176;Задержка развития навыков правописания;F81.1;21189
10021177;Задержка развития навыков чтения;F81.0;21190
10021178;Задержка развития общая;F89;21191
10021179;Задержка развития речи;F80.9;21192
10021180;Задержка развития учебных навыков;F81.9;21193
10021181;Задержка родоразрешения;O63.9;21194
10021182;Задержка родоразрешения, влияние на новорожденного;P03.8;21195
10021183;Задержка родоразрешения, влияние на плод;P03.8;21196
10021184;Задержка рождения;O63.9;21197
10021185;Задержка рождения второго плода из двойни;O63.2;21198
10021186;Задержка рождения второго плода из двойни влияние на плод;P03.8;21199
10021187;Задержка рождения второго плода из двойни, влияние на новорожденного;P03.8;21200
10021188;Задержка рождения второго плода из тройни;O63.2;21201
10021189;Задержка рождения второго плода из тройни, влияние на новорожденного;P03.8;21202
10021190;Задержка рождения второго плода из тройни, влияние на плод;P03.8;21203
10021191;Задержка рождения, влияние на новорожденного;P03.8;21204
10021192;Задержка рождения, влияние на плод;P03.8;21205
10021193;Задержка свертывания крови;D68.9;21206
10021194;Задержка сердечной проводимости;I45.8;21207
10021195;Задержка специфического интеллектуального развития;F81.9;21208
10021196;Задержка способности говорить;R62.0;21209
10021197;Задержка способности ходить;R62.0;21210
10021198;Задержка сращения перелома;M84.2;21211
10021199;Задержка умственного развития без указаний на нарушение поведения;F79.9;21212
10021200;Задержка умственного развития с аутизмом детским;F84.1;21213
10021201;Задержка умственного развития с гиперактивностью и стереотипными движениями;F84.4;21214
10021202;Задержка умственного развития с другими нарушениями поведения;F79.8;21215
10021203;Задержка умственного развития с указанием на отсутствие или слабую выраженность нарушения поведения;F79.0;21216
10021204;Задержка умственного развития со значительным нарушением поведения, требующим ухода и лечения;F79.1;21217
10021205;Задержка физиологического развития;R62.9;21218
10021206;Задержка физиологического развития женских внутренних половых органов врожденная;Q52.8;21219
10021207;Задержка физиологического развития женских наружных половых органов врожденная;Q52.7;21220
10021208;Задержка физиологического развития женских половых органов врожденная;Q52.8;21221
10021209;Задержка физиологического развития мужских половых органов врожденная;Q55.8;21222
10021210;Задержка физиологического развития плода;P05.9;21223
10021211;Задержка физиологического развития плода, влияющее на ведение беременности;O36.5;21224
10021212;Задержка физиологического развития половых органов после наступления половой зрелости;E30.0;21225
10021213;Задержка физиологического развития ребенка;R62.8;21226
10021214;Задержка физиологического развития уточненной стадии;R62.0;21227
10021215;Задержка физического развития вследствие недостаточности питания;E45;21228
10021216;Задержка фрагментов децидуальной ткани;O72.2;21229
10021217;Задержка фрагментов плаценты;O72.2;21230
10021218;Задержка фрагментов плаценты без кровотечения;O73.1;21231
10021219;Задержка фрагментов плаценты с кровотечением;O72.2;21232
10021220;Задержка части плаценты;O72.2;21233
10021221;Задержка части плаценты без кровотечения;O73.1;21234
10021222;Задержка части плаценты с кровотечением;O72.2;21235
10021223;Задержка этапа развития;R62.0;21236
10021224;Заикание;F98.5;21237
10021225;Закрытие кишечника;K56.4;21238
10021226;Закрытие кишечника желчным камнем с илеусом;K56.3;21239
10021227;Закрытие кишечника каловое;K56.4;21240
10021228;Закрытие кишечника камнем;K56.4;21241
10021229;Закрытие межжелудочковой перегородки дефектное;Q21.0;21242
10021230;Закрытие межпредсердной перегородки дефектное;Q21.1;21243
10021231;Закрытие ободочной кишки;K56.4;21244
10021232;Закрытие ободочной кишки каловое;K56.4;21245
10021233;Закрытие прямой кишки;K56.4;21246
10021234;Закрытие прямой кишки каловое;K56.4;21247
10021235;Закрытие слезного протока;H04.5;21248
10021236;Закрытие слезного протока врожденное;Q10.5;21249
10021237;Закрытие тонкой кишки;K56.4;21250
10021238;Закрытие тонкой кишки каловое;K56.4;21251
10021239;Закрытие черепных швов преждевременное;Q75.0;21252
10021240;Закупорка аортального клапана;I35.0;21253
10021241;Закупорка аортального клапана ревматическая;I06.0;21254
10021242;Закупорка аортального клапана сердца;I35.0;21255
10021243;Закупорка Арнольд-Киари;Q07.0;21256
10021244;Закупорка артерии;I74.9;21257
10021245;Закупорка артерии варолиева моста;I66.8;21258
10021246;Закупорка артерии сосудистой оболочки глаза;I66.8;21259
10021247;Закупорка базилярной артерии;I65.1;21260
10021248;Закупорка базилярной артерии полная;I65.1;21261
10021249;Закупорка базилярной артерии с сужением другой прецеребральной артерии;I65.3;21262
10021250;Закупорка базилярной артерии частичная;I65.1;21263
10021251;Закупорка бронха;J98.0;21264
10021252;Закупорка в родах;O66.9;21265
10021253;Закупорка в родах вследствие аномалии органов таза;O65.5;21266
10021254;Закупорка в родах вследствие аномалии таза у матери;O65.9;21267
10021255;Закупорка в родах вследствие деформации таза;O65.0;21268
10021256;Закупорка в родах вследствие неправильного расположения;O64.9;21269
10021257;Закупорка в родах вследствие неправильного расположения плода;O64.9;21270
10021258;Закупорка в родах вследствие несоответствия размеров таза и плода;O65.4;21271
10021259;Закупорка в родах вследствие поперечного стояния головки;O64.0;21272
10021260;Закупорка в родах вследствие предлежания плечика;O66.0;21273
10021261;Закупорка в родах вследствие суженного таза;O65.0;21274
10021262;Закупорка в родах вследствие устойчивого стояния головки;O64.0;21275
10021263;Закупорка в родах вследствие уточненной аномалии таза у матери;O65.8;21276
10021264;Закупорка в родах уточненная;O66.8;21277
10021265;Закупорка в родах, влияние на новорожденного;P03.1;21278
10021266;Закупорка в родах, влияние на плод;P03.1;21279
10021267;Закупорка везикоуретрального отверстия;N32.0;21280
10021268;Закупорка века;H02.5;21281
10021269;Закупорка венозная;I87.1;21282
10021270;Закупорка вены;I87.1;21283
10021271;Закупорка верхней полой вены;I87.1;21284
10021272;Закупорка верхних дыхательных путей врожденная;Q34.8;21285
10021273;Закупорка влагалища;N89.5;21286
10021274;Закупорка внутриматочного контрацептивного устройства;T83.3;21287
10021275;Закупорка вследствие нарушения функционирования трахеостомы;J95.0;21288
10021276;Закупорка гипофизарной артерии;I66.8;21289
10021277;Закупорка глазной щели;H02.5;21290
10021278;Закупорка глотки;J39.2;21291
10021279;Закупорка гортани;J38.6;21292
10021280;Закупорка гортани врожденная;Q31.8;21293
10021281;Закупорка гортани врожденная под собственно голосовым аппаратом;Q31.1;21294
10021282;Закупорка гортани врожденное уточненное;Q31.8;21295
10021283;Закупорка грудного протока;I89.0;21296
10021284;Закупорка двенадцатиперстной кишки;K31.5;21297
10021285;Закупорка дыхательных путей;J98.8;21298
10021286;Закупорка дыхательных путей с аллергическим альвеолитом;J67.9;21299
10021287;Закупорка дыхательных путей с астмой;J45.9;21300
10021288;Закупорка дыхательных путей с бронхитом;J44.8;21301
10021289;Закупорка дыхательных путей с бронхитом хроническим;J44.8;21302
10021290;Закупорка дыхательных путей с бронхоэктазией;J47;21303
10021291;Закупорка дыхательных путей с эмфиземой;J43.9;21304
10021292;Закупорка дыхательных путей хроническая;J44.9;21305
10021293;Закупорка евстахиевой трубы;H68.1;21306
10021294;Закупорка желудка;K31.8;21307
10021295;Закупорка желудка в виде рыболовного крючка;K31.8;21308
10021296;Закупорка желудка врожденная;Q40.2;21309
10021297;Закупорка желудка вследствие пилороспазма;K31.3;21310
10021298;Закупорка желудочкового внутричерепного шунта;T85.0;21311
10021299;Закупорка желудочно-кишечная;K56.6;21312
10021300;Закупорка желудочно-кишечного трансплантата;T85.5;21313
10021301;Закупорка желчного протока;K83.1;21314
10021302;Закупорка желчного протока без камней;K83.1;21315
10021303;Закупорка желчного протока врожденная;Q44.3;21316
10021304;Закупорка желчного протока врожденная с желтухой;Q44.3;21317
10021305;Закупорка желчного протока с камнем;K80.5;21318
10021306;Закупорка желчного пузыря;K82.0;21319
10021307;Закупорка желчного пузыря врожденная;Q44.1;21320
10021308;Закупорка желчным камнем;K80.2;21321
10021309;Закупорка желчным камнем желчного протока;K80.5;21322
10021310;Закупорка желчным камнем общего желчного протока;K80.5;21323
10021311;Закупорка желчным камнем печеночного желчного протока;K80.5;21324
10021312;Закупорка желчным камнем пузырного протока;K80.2;21325
10021313;Закупорка желчным камнем тонкой кишки с непроходимостью;K56.3;21326
10021314;Закупорка желчными камнями;K80.2;21327
10021315;Закупорка желчными камнями желчного протока;K80.5;21328
10021316;Закупорка желчными камнями общего желчного протока;K80.5;21329
10021317;Закупорка желчными камнями печеночного желчного протока;K80.5;21330
10021318;Закупорка желчными камнями пузырного протока;K80.2;21331
10021319;Закупорка желчными камнями тонкой кишки с непроходимостью;K56.3;21332
10021320;Закупорка задней соединяющей артерии;I66.8;21333
10021321;Закупорка зева матки;N88.2;21334
10021322;Закупорка зонда;T85.6;21335
10021323;Закупорка зонда для внутрибрюшного диализа;T85.6;21336
10021324;Закупорка зонда для диализа;T82.4;21337
10021325;Закупорка зонда для инфузионного вливания;T82.5;21338
10021326;Закупорка зонда для почечного диализа;T82.4;21339
10021327;Закупорка каловая;K56.4;21340
10021328;Закупорка каловая с грыжей;K46.0;21341
10021329;Закупорка канала уха;H61.3;21342
10021330;Закупорка катетера;T85.6;21343
10021331;Закупорка кишечника;K56.6;21344
10021332;Закупорка кишечника адинамическая;K56.0;21345
10021333;Закупорка кишечника вследствие заворота кишок;K56.2;21346
10021334;Закупорка кишечника механическая;K56.6;21347
10021335;Закупорка кишечника неврогенная;K56.6;21348
10021336;Закупорка кишечника пароксизмальная;K56.6;21349
10021337;Закупорка кишечника послеоперационная;K91.3;21350
10021338;Закупорка кишечника постинфекционная;K56.6;21351
10021339;Закупорка кишечника рефлекторная;K56.6;21352
10021340;Закупорка кишечника у новорожденного;P76.9;21353
10021341;Закупорка кишечника у новорожденного уточненная;P76.8;21354
10021342;Закупорка кишечника у новорожденного, вызванная затвердением кала;P76.8;21355
10021343;Закупорка кишечника у новорожденного, вызванная мекониевой пробкой;P76.0;21356
10021344;Закупорка кишечника у новорожденного, вызванная мекониевой пробкой при муковисцидозе;E84.1;21357
10021345;Закупорка кишечника у новорожденного, вызванная сгущением молока;P76.2;21358
10021346;Закупорка кишечника, вызванная брюшинными спайками;K56.5;21359
10021347;Закупорка кишечника, вызванная желчными камнями;K56.3;21360
10021348;Закупорка кишечника, вызванная кишечными спайками;K56.5;21361
10021349;Закупорка кишечника, вызванная спайками;K56.5;21362
10021350;Закупорка клапана сердца;T82.0;21363
10021351;Закупорка коронарная атеросклеротическая;I25.1;21364
10021352;Закупорка коронарного шунта;T82.2;21365
10021353;Закупорка коронарной артерии;I25.1;21366
10021354;Закупорка коронарной артерии атеросклеротическая;I25.1;21367
10021355;Закупорка коронарной артерии врожденное;A50.5;21368
10021356;Закупорка коронарной артерии врожденное сифилитическое;A50.5;21369
10021357;Закупорка коронарной артерии вследствие сифилиса;A52.0;21370
10021358;Закупорка крайней плоти;N47;21371
10021359;Закупорка крайней плоти приобретенное;N47;21372
10021360;Закупорка легкого;J98.4;21373
10021361;Закупорка легкого хроническая;J44.9;21374
10021362;Закупорка легочного клапана;I37.0;21375
10021363;Закупорка легочного клапана сердца;I37.0;21376
10021364;Закупорка Лейна;K56.6;21377
10021365;Закупорка лимфатическая;I89.0;21378
10021366;Закупорка матки;N85.8;21379
10021367;Закупорка маточной трубы;N97.1;21380
10021368;Закупорка маточной трубы двусторонняя;N97.1;21381
10021369;Закупорка мекониевой пробкой у новорожденного;P76.0;21382
10021370;Закупорка мекониевой пробкой у новорожденного при муковисцидозе;E84.1;21383
10021371;Закупорка мекониевой пробкой у плода;P76.0;21384
10021372;Закупорка мекониевой пробкой у плода при муковисцидозе;E84.1;21385
10021373;Закупорка мозжечковой артерии;I66.3;21386
10021374;Закупорка мочевая;N13.9;21387
10021375;Закупорка мочевая предстательного клапана;N32.0;21388
10021376;Закупорка мочевая умеренная;N13.9;21389
10021377;Закупорка мочевого зонда;T83.0;21390
10021378;Закупорка мочевого катетера;T83.0;21391
10021379;Закупорка мочевого органа;N13.9;21392
10021380;Закупорка мочевого протезного имплантата;T83.1;21393
10021381;Закупорка мочевого тракта;N13.9;21394
10021382;Закупорка мочевого трансплантата;T83.1;21395
10021383;Закупорка мочепузырная;N32.0;21396
10021384;Закупорка мочеточника;N13.5;21397
10021385;Закупорка мочеточника в связи с перегибом тазового перехода;N13.5;21398
10021386;Закупорка мочеточника в связи с перегибом тазового перехода с гидронефрозом;N13.0;21399
10021387;Закупорка мочеточника в связи с перегибом тазового перехода с гидронефрозом и инфекцией;N13.6;21400
10021388;Закупорка мочеточника в связи с перегибом тазового перехода с пиелонефритом;N11.1;21401
10021389;Закупорка мочеточника в связи с перегибом тазового перехода с хроническим пиелонефритом;N11.1;21402
10021390;Закупорка мочеточника в связи с с камнем;N20.1;21403
10021391;Закупорка мочеточника врожденная;Q62.3;21404
10021392;Закупорка мочеточника с гидронефрозом;N13.1;21405
10021393;Закупорка мочеточника с гидронефрозом с инфекцией;N13.6;21406
10021394;Закупорка мочеточника с инфекцией;N13.6;21407
10021395;Закупорка мочеточника с пиелонефритом;N11.1;21408
10021396;Закупорка мочеточника с хроническим пиелонефритом;N11.1;21409
10021397;Закупорка мочеточника функциональная;N13.5;21410
10021398;Закупорка наружного мочеиспускательного отверстия;N35.9;21411
10021399;Закупорка наружного слухового прохода;H61.3;21412
10021400;Закупорка наружного уха серной пробкой;H61.2;21413
10021401;Закупорка неба;K07.8;21414
10021402;Закупорка нижней полой вены;I87.1;21415
10021403;Закупорка носа;J34.8;21416
10021404;Закупорка носового синуса;J34.8;21417
10021405;Закупорка носовых синусов;J34.8;21418
10021406;Закупорка носоглотки;J39.2;21419
10021407;Закупорка носослезного протока;H04.5;21420
10021408;Закупорка носослезного протока врожденная;Q10.5;21421
10021409;Закупорка общего желчного протока;K83.1;21422
10021410;Закупорка общего желчного протока без камней;K83.1;21423
10021411;Закупорка околоушного протока;K11.8;21424
10021412;Закупорка ортопедического протезного имплантата;T84.4;21425
10021413;Закупорка ортопедического устройства;T84.4;21426
10021414;Закупорка отверстия Монро;Q03.8;21427
10021415;Закупорка отверстия Монро врожденное;Q03.8;21428
10021416;Закупорка отверстия Монро врожденное со spina bifida;Q05.4;21429
10021417;Закупорка отверстия Монро со spina bifida;Q05.4;21430
10021418;Закупорка отверстия привратника;K31.1;21431
10021419;Закупорка панкреатического протока;K86.8;21432
10021420;Закупорка пельвиоуретрального перехода;N13.8;21433
10021421;Закупорка передней камеры глаза;H40.0;21434
10021422;Закупорка печеночная;K76.8;21435
10021423;Закупорка печеночного желчного протока;K83.1;21436
10021424;Закупорка печеночного протока;K83.1;21437
10021425;Закупорка печеночного протока без камней;K83.1;21438
10021426;Закупорка пищевода;K22.2;21439
10021427;Закупорка подвздошной кишки;K56.6;21440
10021428;Закупорка подчелюстного протока;K11.8;21441
10021429;Закупорка позвоночной артерии;I65.0;21442
10021430;Закупорка позвоночной артерии двустороннее;I65.3;21443
10021431;Закупорка позвоночной артерии полная;I65.0;21444
10021432;Закупорка позвоночной артерии с сужением другой прецеребральной артерии;I65.3;21445
10021433;Закупорка позвоночной артерии частичная;I65.0;21446
10021434;Закупорка полового трансплантата;T83.4;21447
10021435;Закупорка полой вены;I87.1;21448
10021436;Закупорка поля зрения;H53.4;21449
10021437;Закупорка поля зрения генерализованное;H53.4;21450
10021438;Закупорка поля зрения периферическое;H53.4;21451
10021439;Закупорка поля зрения функциональное;H53.4;21452
10021440;Закупорка портальной;I81;21453
10021441;Закупорка портальной вены;I81;21454
10021442;Закупорка постоянного мочевого зонда;T83.0;21455
10021443;Закупорка постоянного мочевого катетера;T83.0;21456
10021444;Закупорка почечного оттока мочи;N13.8;21457
10021445;Закупорка почечногоъ оттока мочи врожденная;Q62.3;21458
10021446;Закупорка почечной артерии;N28.0;21459
10021447;Закупорка прецеребральной артерии;I65.9;21460
10021448;Закупорка прецеребральной артерии множественное или двустороннее;I65.3;21461
10021449;Закупорка простаты;N40;21462
10021450;Закупорка протеза клапана сердца;T82.0;21463
10021451;Закупорка протезного имплантата;T85.6;21464
10021452;Закупорка протезного имплантата вследствие инфекции;T85.7;21465
10021453;Закупорка протезного имплантата уточненного;T85.6;21466
10021454;Закупорка протока Стенсена;K11.8;21467
10021455;Закупорка прямой кишки;K62.4;21468
10021456;Закупорка пузырного протока;K82.0;21469
10021457;Закупорка ректосигмовидного отдела;K56.6;21470
10021458;Закупорка ретинальной артерии;H34.2;21471
10021459;Закупорка ретинальной артерии преходящая;H34.0;21472
10021460;Закупорка семяизвергающего протока;N50.8;21473
10021461;Закупорка сердца;T82.5;21474
10021462;Закупорка сетчатки;H34.9;21475
10021463;Закупорка сетчатки уточненная;H34.8;21476
10021464;Закупорка сигмовидной кишки;K56.6;21477
10021465;Закупорка Сильвиева водопровода;G91.1;21478
10021466;Закупорка Сильвиева водопровода \врожденная;Q03.0;21479
10021467;Закупорка Сильвиева водопровода врожденная со spina bifida;Q05.4;21480
10021468;Закупорка синуса;J34.8;21481
10021469;Закупорка синуса носовой пазухи;J34.8;21482
10021470;Закупорка слезного;H04.5;21483
10021471;Закупорка слезного протока;H04.5;21484
10021472;Закупорка слезного протока врожденная;Q10.5;21485
10021473;Закупорка слезного прохода;H04.5;21486
10021474;Закупорка слезного прохода врожденная;Q10.5;21487
10021475;Закупорка слезноносового протока;H04.5;21488
10021476;Закупорка слезноносового протока врожденная;Q10.5;21489
10021477;Закупорка слепой кишки;K56.6;21490
10021478;Закупорка слухового прохода;H61.3;21491
10021479;Закупорка слуховой внутренней артерии;I65.8;21492
10021480;Закупорка слуховой трубы;H68.1;21493
10021481;Закупорка слуховой трубы полная;H68.1;21494
10021482;Закупорка слуховой трубы частичная;H68.1;21495
10021483;Закупорка слюнного протока;K11.8;21496
10021484;Закупорка сонной артерии;I65.2;21497
10021485;Закупорка сонной артерии двустороннее;I65.3;21498
10021486;Закупорка сонной артерии полная;I65.2;21499
10021487;Закупорка сонной артерии с сужением другой прецеребральной артерии;I65.3;21500
10021488;Закупорка сонной артерии частичная;I65.2;21501
10021489;Закупорка сосуда;I99;21502
10021490;Закупорка сосуда сетчатки;H34.9;21503
10021491;Закупорка сосудистого трансплантата;T82.3;21504
10021492;Закупорка спинального зонда;T85.6;21505
10021493;Закупорка спинального субдурального зонда;T85.6;21506
10021494;Закупорка спинального эпидурального зонда;T85.6;21507
10021495;Закупорка суставного протеза;T84.0;21508
10021496;Закупорка толстого кишечника врожденная;Q42.9;21509
10021497;Закупорка толстого кишечника врожденная уточненная;Q42.8;21510
10021498;Закупорка толстой кишки;K56.6;21511
10021499;Закупорка тонкого кишечника врожденная;Q41.9;21512
10021500;Закупорка тощей кишки;K56.6;21513
10021501;Закупорка трансплантата;T85.6;21514
10021502;Закупорка трансплантата вследствие инфекции;T85.7;21515
10021503;Закупорка трансплантата желчного протока;T85.5;21516
10021504;Закупорка трансплантата клапана сердца;T82.2;21517
10021505;Закупорка трансплантата пищевода;T85.5;21518
10021506;Закупорка трансплантата уточненного;T85.6;21519
10021507;Закупорка трахеи;J39.8;21520
10021508;Закупорка трехстворчатого;I07.0;21521
10021509;Закупорка трехстворчатого клапана;I07.0;21522
10021510;Закупорка уретры;N35.9;21523
10021511;Закупорка уретры врожденная;Q64.3;21524
10021512;Закупорка устройства;T85.6;21525
10021513;Закупорка устройства вследствие инфекции;T85.7;21526
10021514;Закупорка устройства уточненного;T85.6;21527
10021515;Закупорка центральной ретинальной артерии;H34.1;21528
10021516;Закупорка церебральной артерии;I66.9;21529
10021517;Закупорка циркуляторная;I99;21530
10021518;Закупорка шейки мочевого пузыря;N32.0;21531
10021519;Закупорка шейки мочевого пузыря врожденная;Q64.3;21532
10021520;Закупорка шейки мочевого пузыря приобретенная;N32.0;21533
10021521;Закупорка, вызванная инородным телом, случайно оставленным в операционной ране;T81.5;21534
10021522;Закупорка, вызванная инородным телом, случайно оставленным в полости тела;T81.5;21535
10021523;Зальцмана узелковая дистрофия;H18.4;21536
10021524;Замедленный рост плода;P05.9;21537
10021525;Замедленный рост плода, влияющий на ведение беременности;O36.5;21538
10021526;Замена внутреннего фиксирующего устройства;Z47.0;21539
10021527;Замена внутриматочного противозачаточного средства;Z30.5;21540
10021528;Замена вытяжного устройства;Z47.8;21541
10021529;Замена гипсовой повязки;Z47.8;21542
10021530;Замена искусственного водителя ритма сердца;Z45.0;21543
10021531;Замена наружного фиксирующего устройства;Z47.8;21544
10021532;Замена наружной шины;Z47.8;21545
10021533;Замена повязки;Z48.0;21546
10021534;Замена постоянного катетера;Z46.6;21547
10021535;Замена постоянного мочевого катетера;Z46.6;21548
