зяином квартиры;Z59.2;59528
10061603;Рак базофильный неуточненной локализации;C75.1;61671
10061604;Рак барабанной полости;C30.1;61672
10061605;Рак бартолиновой железы;C51.0;61673
10061606;Рак бедра;C76.5;61674
10061607;Рак бедренного нерва;C47.2;61675
10061608;Рак бедренной кости;C40.2;61676
10061609;Рак безымянной кости;C41.4;61677
10061610;Рак белого вещества большого мозга;C71.0;61678
10061611;Рак белого вещества мозга;C71.0;61679
10061612;Рак белого вещества центральной нервной системы;C71.0;61680
10061613;Рак бледного шара;C71.0;61681
10061614;Рак блокового нерва;C72.5;61682
10061615;Рак блуждающего нерва;C72.5;61683
10061616;Рак бокового желудочка;C71.5;61684
10061617;Рак бокового края языка;C02.1;61685
10061618;Рак боковой глоточной стенки;C14.0;61686
10061619;Рак боковой стенки живота;C76.7;61687
10061620;Рак боковой стенки мочевого пузыря;C67.2;61688
10061621;Рак боковой стенки носоглотки;C11.2;61689
10061622;Рак боковой части полости рта;C04.1;61690
10061623;Рак большеберцовой кости;C40.2;61691
10061624;Рак большого мозга;C71.0;61692
10061625;Рак большого пальца руки;C76.4;61693
10061626;Рак большой железы преддверия влагалища;C51.0;61694
10061627;Рак большой кривизны желудка;C16.6;61695
10061628;Рак большой половой губы;C51.0;61696
10061629;Рак большой слюнной железы;C08.9;61697
10061630;Рак большой срамной губы;C51.0;61698
10061631;Рак борозды альвеолярного отростка;C06.1;61699
10061632;Рак бранхиальный;C10.4;61700
10061633;Рак бранхиогенный;C10.4;61701
10061634;Рак брови;C44.3;61702
10061635;Рак бронха;C34.9;61703
10061636;Рак бронха верхней доли легкого;C34.1;61704
10061637;Рак бронха нижней доли легкого;C34.3;61705
10061638;Рак бронха средней доли легкого;C34.2;61706
10061639;Рак бронхиол;C34.9;61707
10061640;Рак брыжейки;C48.1;61708
10061641;Рак брыжейки маточной трубы;C57.1;61709
10061642;Рак брыжейки ободочной кишки;C48.1;61710
10061643;Рак брыжейки яичника;C57.1;61711
10061644;Рак брюшины;C48.2;61712
10061645;Рак брюшной аорты;C49.4;61713
10061646;Рак брюшной вены;C49.4;61714
10061647;Рак брюшной полости;C76.2;61715
10061648;Рак варолиева моста;C71.7;61716
10061649;Рак вартонова протока;C08.0;61717
10061650;Рак века;C44.1;61718
10061651;Рак вентральной поверхности языка;C02.2;61719
10061652;Рак веретеноклеточного типа мелко-крупноклеточный неуточненной локализации;C34.9;61720
10061653;Рак веретеноклеточного типа неуточненной локализации;C34.9;61721
10061654;Рак веретеноклеточного типа промежуточно-клеточный неуточненной локализации;C34.9;61722
10061655;Рак веретеноклеточного типа с лимфоидной стромой неуточненной локализации;C34.9;61723
10061656;Рак вертлужной впадины;C41.4;61724
10061657;Рак верхневнутреннего квадранта молочной железы;C50.2;61725
10061658;Рак верхнего века;C44.1;61726
10061659;Рак верхней губной борозды;C06.1;61727
10061660;Рак верхней губы;C00.0;61728
10061661;Рак верхней доли легкого;C34.1;61729
10061662;Рак верхней конечности;C76.4;61730
10061663;Рак верхней поверхности мягкого неба;C11.3;61731
10061664;Рак верхней полой вены;C49.3;61732
10061665;Рак верхней стенки носоглотки;C11.0;61733
10061666;Рак верхней трети пищевода;C15.3;61734
10061667;Рак верхней части молочной железы;C50.8;61735
10061668;Рак верхней челюсти;C41.0;61736
10061669;Рак верхней челюсти, карцинома;C76.0;61737
10061670;Рак верхней щечной борозды;C06.1;61738
10061671;Рак верхненаружного квадранта молочной железы;C50.4;61739
10061672;Рак верхнечелюстного синуса;C31.0;61740
10061673;Рак верхнечелюстной кости;C41.0;61741
10061674;Рак верхнечелюстной пазухи;C31.0;61742
10061675;Рак вилочковой железы;C37;61743
10061676;Рак вирсунгова протока;C25.3;61744
10061677;Рак Вирхова узла;C52;61745
10061678;Рак виска;C44.3;61746
10061679;Рак височного полюса;C71.2;61747
10061680;Рак височной доли;C71.2;61748
10061681;Рак височной доли головного мозга;C71.2;61749
10061682;Рак височной кости;C41.0;61750
10061683;Рак височной области;C76.0;61751
10061684;Рак височно-нижнечелюстного сустава;C41.1;61752
10061685;Рак висцеральной плевры;C38.4;61753
10061686;Рак влагалищно-пузырное;C57.9;61754
10061687;Рак влагалищно-пузырной перегородки;C57.9;61755
10061688;Рак внегортанной части;C32.1;61756
10061689;Рак внепеченочного желчного протока;C24.0;61757
10061690;Рак внутреннего зева;C53.0;61758
10061691;Рак внутреннего зева матки;C53.0;61759
10061692;Рак внутреннего слухового прохода;C30.1;61760
10061693;Рак внутреннего уретрального отверстия;C67.5;61761
10061694;Рак внутреннего уха;C30.1;61762
10061695;Рак внутренней капсулы головного мозга;C71.0;61763
10061696;Рак внутренней поверхности верхней губы;C00.5;61764
10061697;Рак внутренней поверхности губы;C00.3;61765
10061698;Рак внутренней поверхности нижней губы;C00.4;61766
10061699;Рак внутренней поверхности щеки;C06.0;61767
10061700;Рак внутренней спайки век;C44.1;61768
10061701;Рак внутренней части молочной железы;C50.8;61769
10061702;Рак внутренней части носа;C30.0;61770
10061703;Рак внутренних органов;C76.7;61771
10061704;Рак внутренних органов брюшной полости;C76.2;61772
10061705;Рак внутрибрюшное;C76.2;61773
10061706;Рак внутриглазничное;C69.6;61774
10061707;Рак внутриглазное;C69.4;61775
10061708;Рак внутригрудное;C76.1;61776
10061709;Рак внутригрудных органов;C76.1;61777
10061710;Рак внутрикистозный внутрипротоковый молочной железы;D05.1;61778
10061711;Рак внутрикистозный внутрипротоковый неуточненной локализации;D05.1;61779
10061712;Рак внутрикистозный внутрипротоковый папиллярный молочной железы;D05.1;61780
10061713;Рак внутрикистозный внутрипротоковый папиллярный неуточненной локализации;D05.1;61781
10061714;Рак внутрикистозный дольковый молочной железы;D05.0;61782
10061715;Рак внутрикистозный дольковый неуточненной локализации;D05.0;61783
10061716;Рак внутрикостный;C41.1;61784
10061717;Рак внутрикостный верхней челюсти;C41.0;61785
10061718;Рак внутрикостный, верхней челюсти;C41.0;61786
10061719;Рак внутрикостный, кости верхней челюсти;C41.0;61787
10061720;Рак внутрипеченочного желчного протока;C22.1;61788
10061721;Рак внутрипеченочных канальцев;C22.1;61789
10061722;Рак внутрипротоковый молочной железы;D05.1;61790
10061723;Рак внутрипротоковый неинфильтрирующий молочной железы;D05.1;61791
10061724;Рак внутрипротоковый неинфильтрирующий неуточненной локализации;D05.1;61792
10061725;Рак внутрипротоковый неинфильтрирующий папиллярный молочной железы;D05.1;61793
10061726;Рак внутрипротоковый неинфильтрирующий папиллярный неуточненной локализации;D05.1;61794
10061727;Рак внутрипротоковый неинфильтрирующий папиллярный с инвазией неуточненной локализации;C50.9;61795
10061728;Рак внутрипротоковый неуточненной локализации;D05.1;61796
10061729;Рак внутрипротоковый папиллярный молочной железы;D05.1;61797
10061730;Рак внутрипротоковый папиллярный неуточненной локализации;D05.1;61798
10061731;Рак внутрипротоковый папиллярный с инвазией неуточненной локализации;C50.9;61799
10061732;Рак внутричерепное;C71.9;61800
10061733;Рак внутричерепных мозговых оболочек;C70.0;61801
10061734;Рак водянисто-светлоклеточный;C75.0;61802
10061735;Рак волосистой части головы;C44.4;61803
10061736;Рак вольфова тела женщин;C57.7;61804
10061737;Рак вольфова тела мужчин;C63.7;61805
10061738;Рак ворот легкого;C34.0;61806
10061739;Рак воспалительный неуточненной локализации;C50.9;61807
10061740;Рак воспалительный неуточненной локализации у женщин;C50.9;61808
10061741;Рак восходящей кишки;C18.2;61809
10061742;Рак вульвовагинальной железы;C51.0;61810
10061743;Рак вульвы;C51.9;61811
10061744;Рак гайморовой пазухи;C31.0;61812
10061745;Рак ганглия;C47.9;61813
10061746;Рак Гартнера канала;C52;61814
10061747;Рак геморроидальной зоны;C21.1;61815
10061748;Рак гепатобилиарной области;C24.9;61816
10061749;Рак гепатоклеточный;C22.0;61817
10061750;Рак гепатохолангиолитический;C22.0;61818
10061751;Рак гепатоцеллюлярный;C22.0;61819
10061752;Рак гепатоцеллюлярный и желчно-протоковый;C22.0;61820
10061753;Рак гепатоцеллюлярный и желчно-протоковый смешанный;C22.0;61821
10061754;Рак гепатоцеллюлярный фиброламеллярный;C22.0;61822
10061755;Рак гипофиза;C75.1;61823
10061756;Рак гиппокампа;C71.2;61824
10061757;Рак главного бронха;C34.0;61825
10061758;Рак главного бронха легкого;C34.0;61826
10061759;Рак глаза;C69.9;61827
10061760;Рак глазницы;C69.9;61828
10061761;Рак глазного яблока;C69.9;61829
10061762;Рак глазодвигательного нерва;C72.5;61830
10061763;Рак глотки;C14.0;61831
10061764;Рак глоточного кармана;C11.2;61832
10061765;Рак глоточного свода;C11.3;61833
10061766;Рак глоточной миндалины;C11.1;61834
10061767;Рак глоточной области;C14.0;61835
10061768;Рак глоточной стенки;C14.0;61836
10061769;Рак головки поджелудочной железы;C25.0;61837
10061770;Рак головки полового члена;C60.1;61838
10061771;Рак головного мозга;C71.9;61839
10061772;Рак головы;C76.0;61840
10061773;Рак голосовых связок;C32.0;61841
10061774;Рак гортани;C32.9;61842
10061775;Рак гортанной комиссуры;C32.0;61843
10061776;Рак гортанной поверхности надгортанника;C32.1;61844
10061777;Рак гортанной части межчерпаловидной складки;C32.1;61845
10061778;Рак гортанной части черпаловидного хряща;C32.1;61846
10061779;Рак гортаноглотки;C13.9;61847
10061780;Рак гранулезоклеточный;C56;61848
10061781;Рак грудины;C41.3;61849
10061782;Рак грудного отдела пищевода;C15.1;61850
10061783;Рак грудного отдела спинного мозга;C72.0;61851
10061784;Рак грудного протока;C49.3;61852
10061785;Рак грудной аорты;C49.3;61853
10061786;Рак грудной клетки;C76.1;61854
10061787;Рак грудной полости;C76.1;61855
10061788;Рак грушевидного кармана;C12;61856
10061789;Рак грушевидной ямки;C12;61857
10061790;Рак губной борозды;C06.1;61858
10061791;Рак губной комиссуры;C00.6;61859
10061792;Рак губы;C00.9;61860
10061793;Рак двенадцатиперстной кишки;C17.0;61861
10061794;Рак девственной плевы;C52;61862
10061795;Рак десны;C03.9;61863
10061796;Рак десны верхней челюсти;C03.0;61864
10061797;Рак десны нижней челюсти;C03.1;61865
10061798;Рак диафрагмы;C49.3;61866
10061799;Рак дистального отдела ободочной кишки;C18.7;61867
10061800;Рак дистальной трети пищевода;C15.5;61868
10061801;Рак диффузного типа неуточненной локализации;C16.9;61869
10061802;Рак длинной кости;C40.9;61870
10061803;Рак длинной кости верхних конечностей;C40.0;61871
10061804;Рак длинной кости нижних конечностей;C40.2;61872
10061805;Рак длинных костей верхней конечности;C40.0;61873
10061806;Рак длинных костей нижней конечности;C40.2;61874
10061807;Рак дна желудка;C16.1;61875
10061808;Рак дна желудочка;C71.5;61876
10061809;Рак дна матки;C54.3;61877
10061810;Рак дна носоглотки;C11.3;61878
10061811;Рак дна полости рта;C04.9;61879
10061812;Рак добавочного нерва;C72.5;61880
10061813;Рак доли гипофиза;C75.1;61881
10061814;Рак дольковый инфильтрирующий неуточненной локализации;C50.9;61882
10061815;Рак дольковый инфильтрирующий неуточненной локализации у женщин;C50.9;61883
10061816;Рак дольковый неинфильтрирующий молочной железы;D05.0;61884
10061817;Рак дольковый неинфильтрирующий неуточненной локализации;D05.0;61885
10061818;Рак дольковый неуточненной локализации;C50.9;61886
10061819;Рак дольковый неуточненной локализации у женщин;C50.9;61887
10061820;Рак дорсальной поверхности языка;C01;61888
10061821;Рак дугласова кармана;C48.1;61889
10061822;Рак дугласова пространства;C48.1;61890
10061823;Рак дужек зева;C09.1;61891
10061824;Рак дужки зева;C09.1;61892
10061825;Рак дужки миндалины;C09.1;61893
10061826;Рак дуктулярный инфильтрирующий неуточненной локализации;C50.9;61894
10061827;Рак дуоденоеюнального соединения;C17.8;61895
10061828;Рак жаберной щели;C10.4;61896
10061829;Рак железистой ткани молочной железы;C50.9;61897
10061830;Рак железы Купера;C68.0;61898
10061831;Рак железы Скина;C68.1;61899
10061832;Рак железы эндометрия;C54.1;61900
10061833;Рак железы эндоцервикального канала;C53.0;61901
10061834;Рак желудка;C16.9;61902
10061835;Рак желудочка;C71.0;61903
10061836;Рак желудочка мозга;C71.0;61904
10061837;Рак желудочка сердца;C38.0;61905
10061838;Рак желудочковой складки гортани;C32.1;61906
10061839;Рак желудочнокишечного тракта;C26.9;61907
10061840;Рак желудочно-пищеводного соединения;C16.0;61908
10061841;Рак желчного протока;C24.0;61909
10061842;Рак желчного пузыря;C23;61910
10061843;Рак желчно-протоковый и гепатоцеллюлярный смешанный;C22.0;61911
10061844;Рак желчно-протоковый неуточненной локализации;C22.1;61912
10061845;Рак желчно-протоковый печени;C22.1;61913
10061846;Рак желчных канальцев;C22.1;61914
10061847;Рак желчных путей;C24.9;61915
10061848;Рак женского мочеполового тракта;C57.9;61916
10061849;Рак женского мюллерова канала;C57.7;61917
10061850;Рак женского полового органа;C57.9;61918
10061851;Рак женского полового органа уточненной локализации;C57.7;61919
10061852;Рак женского полового тракта;C57.9;61920
10061853;Рак женского полового тракта уточненной локализации;C57.7;61921
10061854;Рак живота;C76.2;61922
10061855;Рак забрюшинного пространства;C48.0;61923
10061856;Рак забрюшинной ткани;C48.0;61924
10061857;Рак завитка ушной раковины;C44.2;61925
10061858;Рак заглоточное;C14.0;61926
10061859;Рак загрудинное;C38.1;61927
10061860;Рак заднего прохода;C21.0;61928
10061861;Рак заднего прохода кожи;C44.5;61929
10061862;Рак заднего соединения срамных губ;C51.9;61930
10061863;Рак заднего средостения;C38.2;61931
10061864;Рак задней глоточной стенки;C14.0;61932
10061865;Рак задней дужки миндалины;C09.1;61933
10061866;Рак задней комиссуры гортани;C32.0;61934
10061867;Рак задней поверхности мягкого неба;C11.3;61935
10061868;Рак задней поверхности надгортанника;C32.1;61936
10061869;Рак задней стенки гортаноглотки;C13.2;61937
10061870;Рак задней стенки желудка;C16.8;61938
10061871;Рак задней стенки мочевого пузыря;C67.4;61939
10061872;Рак задней стенки носоглотки;C11.1;61940
10061873;Рак задней трети языка;C01;61941
10061874;Рак задней части молочной железы;C50.6;61942
10061875;Рак задней части носовой перегородки;C11.3;61943
10061876;Рак задней черепной ямки;C71.9;61944
10061877;Рак задней ямки;C71.9;61945
10061878;Рак заперстневидной области;C13.0;61946
10061879;Рак запирательного нерва;C47.2;61947
10061880;Рак запястья;C76.4;61948
10061881;Рак затылочного полюса;C71.4;61949
10061882;Рак затылочной доли;C71.4;61950
10061883;Рак затылочной доли головного мозга;C71.4;61951
10061884;Рак затылочной кости;C41.0;61952
10061885;Рак зева;C10.9;61953
10061886;Рак зевное;C10.9;61954
10061887;Рак зевной миндалины;C09.9;61955
10061888;Рак зрительного бугра;C71.0;61956
10061889;Рак зрительного нерва;C72.3;61957
10061890;Рак зрительного перекреста;C72.3;61958
10061891;Рак зрительного тракта;C72.3;61959
10061892;Рак зубных альвеол;C03.9;61960
10061893;Рак из клеток Гюртле;C73;61961
10061894;Рак из клеток Лейдига неуточненной локализации у женщин;C56;61962
10061895;Рак из клеток Лейдига неуточненной локализации у мужчин;C62.9;61963
10061896;Рак из клеток Сертоли дольковый неуточненной локализации;C50.9;61964
10061897;Рак из клеток Сертоли дуктулярный неуточненной локализации;C50.9;61965
10061898;Рак из клеток Сертоли неуточненной локализации;C62.9;61966
10061899;Рак из клеток Сертоли неуточненной локализации у женщин;C56;61967
10061900;Рак из клеток Сертоли неуточненной локализации у мужчин;C62.9;61968
10061901;Рак из клеток Сертоли протоковый и дольковый неуточненной локализации;C50.9;61969
10061902;Рак из клеток Сертоли протоковый неуточненной локализации;C50.9;61970
10061903;Рак из клеток Сертоли протоковый неуточненной локализации у женщин;C50.9;61971
10061904;Рак изгиба сигмовидной кишки;C18.7;61972
10061905;Рак икроножной мышцы;C76.5;61973
10061906;Рак илеоцекального клапана;C18.0;61974
10061907;Рак илеоцекального соединения;C18.0;61975
10061908;Рак илеоцекальной области толстого кишечника;C18.0;61976
10061909;Рак илеоцекальной петли;C18.0;61977
10061910;Рак интраселлярной области;C75.1;61978
10061911;Рак инфильтрирующий дольковый неуточненной локализации;C50.9;61979
10061912;Рак инфильтрирующий дуктулярный неуточненной локализации;C50.9;61980
10061913;Рак инфильтрирующий протоковый и дольковый неуточненной локализации;C50.9;61981
10061914;Рак инфильтрирующий протоковый неуточненной локализации;C50.9;61982
10061915;Рак инфильтрирующий протоковый неуточненной локализации у женщин;C50.9;61983
10061916;Рак истинных голосовых связок;C32.0;61984
10061917;Рак канала привратника желудка;C16.4;61985
10061918;Рак канала шейки матки;C53.0;61986
10061919;Рак кардиального отдела желудка;C16.0;61987
10061920;Рак кардиальной части желудка;C16.0;61988
10061921;Рак кардиально-пищеводного отдела желудка;C16.0;61989
10061922;Рак кардиально-пищеводного соединения;C16.0;61990
10061923;Рак каротидного гломуса;C75.4;61991
10061924;Рак киля бронха;C34.0;61992
10061925;Рак киля трахеи;C34.0;61993
10061926;Рак кисти;C76.4;61994
10061927;Рак кишечника;C26.0;61995
10061928;Рак кишечного типа неуточненной локализации;C16.9;61996
10061929;Рак кишечного тракта;C26.0;61997
10061930;Рак клиновидного синуса;C31.3;61998
10061931;Рак клиновидного хряща;C32.3;61999
10061932;Рак клиновидного хряща гортани;C32.3;62000
10061933;Рак клиновидной кости;C41.0;62001
10061934;Рак клиновидной кости черепа;C41.0;62002
10061935;Рак клитора;C51.2;62003
10061936;Рак клоакогенной зоны;C21.2;62004
10061937;Рак клоакогенный неуточненной локализации;C21.2;62005
10061938;Рак ключицы;C41.3;62006
10061939;Рак ключично-акромиального сустава;C40.0;62007
10061940;Рак кожи;C44.9;62008
10061941;Рак кожи бедра;C44.7;62009
10061942;Рак кожи боковой части живота;C44.5;62010
10061943;Рак кожи большого пальца руки;C44.6;62011
10061944;Рак кожи большой половой губы;C51.0;62012
10061945;Рак кожи большой срамной губы;C51.0;62013
10061946;Рак кожи брови;C44.3;62014
10061947;Рак кожи брюшной стенки;C44.5;62015
10061948;Рак кожи века;C44.1;62016
10061949;Рак кожи верхнего века;C44.1;62017
10061950;Рак кожи верхней губы;C44.0;62018
10061951;Рак кожи верхней конечности;C44.6;62019
10061952;Рак кожи виска;C44.3;62020
10061953;Рак кожи внутренней спайки век;C44.1;62021
10061954;Рак кожи волосистой части головы;C44.4;62022
10061955;Рак кожи вульвы;C51.9;62023
10061956;Рак кожи голеностопного сустава;C44.7;62024
10061957;Рак кожи головы;C44.4;62025
10061958;Рак кожи грудной клетки;C44.5;62026
10061959;Рак кожи грудной клетки (стенки);C44.5;62027
10061960;Рак кожи губы;C44.0;62028
10061961;Рак кожи губы половой;C51.9;62029
10061962;Рак кожи женских половых органов;C51.9;62030
10061963;Рак кожи завитка ушной раковины;C44.2;62031
10061964;Рак кожи заднего прохода;C44.5;62032
10061965;Рак кожи запястья;C44.6;62033
10061966;Рак кожи икроножной мышцы;C44.7;62034
10061967;Рак кожи кисти;C44.6;62035
10061968;Рак кожи клитора;C51.2;62036
10061969;Рак кожи ключичной области;C44.5;62037
10061970;Рак кожи козелка;C44.2;62038
10061971;Рак кожи колена;C44.7;62039
10061972;Рак кожи конечности;C44.9;62040
10061973;Рак кожи крайней плоти;C60.0;62041
10061974;Рак кожи крайней плоти мужского полового органа;C60.0;62042
10061975;Рак кожи крестцово-копчиковой области;C44.5;62043
10061976;Рак кожи крыла носа;C44.3;62044
10061977;Рак кожи ладони;C44.6;62045
10061978;Рак кожи лба;C44.3;62046
10061979;Рак кожи лица;C44.3;62047
10061980;Рак кожи лобка;C44.5;62048
10061981;Рак кожи локтя;C44.6;62049
10061982;Рак кожи лопаточной области;C44.5;62050
10061983;Рак кожи малой половой губы;C51.1;62051
10061984;Рак кожи малой срамной губы;C51.1;62052
10061985;Рак кожи молочной железы;C44.5;62053
10061986;Рак кожи мочки уха;C44.2;62054
10061987;Рак кожи мошонки;C63.2;62055
10061988;Рак кожи мужского полового органа;C63.9;62056
10061989;Рак кожи надключичной области;C44.4;62057
10061990;Рак кожи наружного слухового прохода;C44.2;62058
10061991;Рак кожи наружного уха;C44.2;62059
10061992;Рак кожи наружной спайки век;C44.1;62060
10061993;Рак кожи наружной части носа;C44.3;62061
10061994;Рак кожи нижнего века;C44.1;62062
10061995;Рак кожи нижней губы;C44.0;62063
10061996;Рак кожи нижней конечности;C44.7;62064
10061997;Рак кожи ноги;C44.7;62065
10061998;Рак кожи носа;C44.3;62066
10061999;Рак кожи основания стопы;C44.7;62067
10062000;Рак кожи пальца ноги;C44.7;62068
10062001;Рак кожи пальца руки;C44.6;62069
10062002;Рак кожи паховой области;C44.5;62070
10062003;Рак кожи перианальной области;C44.5;62071
10062004;Рак кожи плечевого сустава;C44.6;62072
10062005;Рак кожи подбородка;C44.3;62073
10062006;Рак кожи подключичной области;C44.5;62074
10062007;Рак кожи подколенного пространства;C44.7;62075
10062008;Рак кожи подколенной ямки;C44.7;62076
10062009;Рак кожи подмышечной впадины;C44.5;62077
10062010;Рак кожи подошвенной области;C44.7;62078
10062011;Рак кожи полового члена;C60.9;62079
10062012;Рак кожи половой губы;C51.9;62080
10062013;Рак кожи предлоктевого пространства;C44.6;62081
10062014;Рак кожи предплечья;C44.6;62082
10062015;Рак кожи промежности;C44.5;62083
10062016;Рак кожи пупочной области;C44.5;62084
10062017;Рак кожи пяточной области;C44.7;62085
10062018;Рак кожи раковины уха;C44.2;62086
10062019;Рак кожи руки;C44.6;62087
10062020;Рак кожи слухового прохода;C44.2;62088
10062021;Рак кожи спайки век;C44.1;62089
10062022;Рак кожи спины;C44.5;62090
10062023;Рак кожи срамной губы;C51.9;62091
10062024;Рак кожи срамной области;C51.9;62092
10062025;Рак кожи стопы;C44.7;62093
10062026;Рак кожи тазобедренного сустава;C44.7;62094
10062027;Рак кожи туловища;C44.5;62095
10062028;Рак кожи уха;C44.2;62096
10062029;Рак кожи ушной раковины;C44.2;62097
10062030;Рак кожи челюсти;C44.3;62098
10062031;Рак кожи шейной области;C44.4;62099
10062032;Рак кожи щеки;C44.3;62100
10062033;Рак кожи ягодичной области;C44.5;62101
10062034;Рак козелка;C44.2;62102
10062035;Рак колена;C76.5;62103
10062036;Рак комиссуры гортани;C32.0;62104
10062037;Рак конечности;C76.7;62105
10062038;Рак конского хвоста;C72.1;62106
10062039;Рак конуса спинного мозга;C72.1;62107
10062040;Рак концевой нити спинного мозга;C72.0;62108
10062041;Рак кончика языка;C02.1;62109
10062042;Рак конъюнктивы;C69.0;62110
10062043;Рак копчика;C41.4;62111
10062044;Рак копчикового гломуса;C49.5;62112
10062045;Рак копчикового отдела позвоночника;C41.4;62113
10062046;Рак копчикового позвонка;C41.4;62114
10062047;Рак копчиковой области позвоночного столба;C41.4;62115
10062048;Рак корня языка;C01;62116
10062049;Рак коротких костей верхней конечности;C40.1;62117
10062050;Рак коротких костей нижней конечности;C40.3;62118
10062051;Рак короткой кости;C40.9;62119
10062052;Рак короткой кости верхних конечностей◊;C40.1;62120
10062053;Рак короткой кости нижних конечностей◊;C40.3;62121
10062054;Рак коры большого мозга;C71.0;62122
10062055;Рак коры головного мозга;C71.0;62123
10062056;Рак коры надпочечника;C74.0;62124
10062057;Рак коры надпочечников;C74.0;62125
10062058;Рак коры церебральной;C71.0;62126
10062059;Рак кости;C41.9;62127
10062060;Рак кости акромиального отростка;C40.0;62128
10062061;Рак кости большого пальца руки;C40.0;62129
10062062;Рак кости верхней конечности;C40.0;62130
10062063;Рак кости верхней челюсти;C41.0;62131
10062064;Рак кости глазницы;C41.0;62132
10062065;Рак кости запястья;C40.1;62133
10062066;Рак кости кисти;C40.9;62134
10062067;Рак кости коленного сустава;C40.2;62135
10062068;Рак кости конечности;C40.9;62136
10062069;Рак кости копчика;C41.4;62137
10062070;Рак кости крестца;C41.4;62138
10062071;Рак кости лица;C41.0;62139
10062072;Рак кости лодыжки;C40.3;62140
10062073;Рак кости лопатки;C40.0;62141
10062074;Рак кости нижней конечности;C40.2;62142
10062075;Рак кости нижней челюсти;C41.1;62143
10062076;Рак кости ноги;C40.2;62144
10062077;Рак кости носа;C41.0;62145
10062078;Рак кости носовой раковины;C41.0;62146
10062079;Рак кости пальца;C40.9;62147
10062080;Рак кости пальца ноги;C40.2;62148
10062081;Рак кости пальца руки;C40.0;62149
10062082;Рак кости пальца стопы;C40.2;62150
10062083;Рак кости плечевого пояса;C40.0;62151
10062084;Рак кости позвонка;C41.2;62152
10062085;Рак кости предплечья;C40.0;62153
10062086;Рак кости придаточного синуса;C41.0;62154
10062087;Рак кости пятки;C40.3;62155
10062088;Рак кости раковины носа;C41.0;62156
10062089;Рак кости руки;C40.0;62157
10062090;Рак кости сосцевидного отростка;C41.0;62158
10062091;Рак кости стопы;C40.9;62159
10062092;Рак кости фаланг пальцев;C40.9;62160
10062093;Рак кости фаланг пальцев кисти;C40.0;62161
10062094;Рак кости фаланг пальцев стопы;C40.2;62162
10062095;Рак кости черепа;C41.0;62163
10062096;Рак костного мозга;C96.9;62164
10062097;Рак кпредплюсны;C40.3;62165
10062098;Рак кпясти;C40.0;62166
10062099;Рак краевой зоны межчерпаловидной складки;C13.1;62167
10062100;Рак краевой зоны черпаловидного хряща;C13.1;62168
10062101;Рак крайней плоти;C60.0;62169
10062102;Рак краниофарингеального кармана;C75.2;62170
10062103;Рак краниофарингеального протока;C75.2;62171
10062104;Рак красной каймы верхней губы;C00.0;62172
10062105;Рак красной каймы губы;C00.2;62173
10062106;Рак красной каймы нижней губы;C00.1;62174
10062107;Рак края заднего прохода;C44.5;62175
10062108;Рак края роговой оболочки;C69.1;62176
10062109;Рак крестца;C41.4;62177
10062110;Рак крестцового нерва;C47.5;62178
10062111;Рак крестцового отдела позвоночника;C41.4;62179
10062112;Рак крестцового отдела спинного мозга;C72.0;62180
10062113;Рак крестцового позвонка;C41.4;62181
10062114;Рак крестцового сплетения;C47.5;62182
10062115;Рак крестцовой области позвоночного столба;C41.4;62183
10062116;Рак крестцово-копчиковой области;C76.3;62184
10062117;Рак крестцово-маточной связки;C57.3;62185
10062118;Рак крипт Морганьи;C21.8;62186
10062119;Рак круглой связки;C57.2;62187
10062120;Рак круглой связки матки;C57.2;62188
10062121;Рак круглоклеточный мелко-крупноклеточный неуточненной локализации;C34.9;62189
10062122;Рак крупных сосудов;C49.3;62190
10062123;Рак крыла носа;C44.3;62191
10062124;Рак крыловидной ямки;C49.0;62192
10062125;Рак культи шейки матки;C53.8;62193
10062126;Рак купола мочевого пузыря;C67.1;62194
10062127;Рак лабиринта решетчатой кости;C41.0;62195
10062128;Рак ладонного апоневроза;C49.1;62196
10062129;Рак ладонной фасции;C49.1;62197
10062130;Рак латерального мениска коленного сустава;C40.2;62198
10062131;Рак лба;C44.3;62199
10062132;Рак левого желудочка сердца;C38.0;62200
10062133;Рак легкого;C34.9;62201
10062134;Рак лимфатического протока;C49.9;62202
10062135;Рак липидсекретирующий;C50.9;62203
10062136;Рак лица;C76.0;62204
10062137;Рак лицевого нерва;C72.5;62205
10062138;Рак лобковой кости;C41.4;62206
10062139;Рак лобного полюса;C71.1;62207
10062140;Рак лобного синуса;C31.2;62208
10062141;Рак лобной доли;C71.1;62209
10062142;Рак лобной доли головного мозга;C71.1;62210
10062143;Рак лобной кости;C41.0;62211
10062144;Рак лобной пазухи;C31.2;62212
10062145;Рак лодыжки;C76.5;62213
10062146;Рак ложных голосовых связок;C32.1;62214
10062147;Рак локтевого нерва;C47.1;62215
10062148;Рак локтевого пространства;C76.4;62216
10062149;Рак локтевой кости;C40.0;62217
10062150;Рак локтевой ямки;C76.4;62218
10062151;Рак локтя;C76.4;62219
10062152;Рак лонного сочленения;C41.4;62220
10062153;Рак лопатки;C40.0;62221
10062154;Рак лопаточной области;C76.1;62222
10062155;Рак лоханочно-мочеточникового соединения;C65;62223
10062156;Рак лучевого нерва;C47.1;62224
10062157;Рак лучевой кости;C40.0;62225
10062158;Рак малоберцовой кости;C40.2;62226
